DateTime,Entries,UniqueIPs
1434197235,1724,53652800
1434283635,1724,53652800
1434283635,1724,53652800
1434629234,1724,53652800
1434629234,1724,53652800
1435147643,1726,53654848
1435406833,1727,53655872
1435752441,1728,53656128
1436011633,1729,53658176
1436270833,1732,53661248
1436357235,1733,53662272
1436962042,1734,53663296
1437048434,1736,53665344
1437134840,1737,53666368
1437221233,1738,53668416
1437480442,1743,53685824
1437739633,1744,53686848
1438258044,1744,53686848
1438690037,1746,53688896
1438862836,1749,53692992
1439122061,1749,53692992
1439122061,1749,53692992
1439122061,1749,53692992
1439208442,1749,53692992
1439294839,1750,53694016
1439381237,1751,53695040
1439467637,1750,53686848
1439640436,1750,53686848
1440158843,1751,53687872
1440158843,1751,53687872
1440504438,1752,53688896
1440590838,1754,53690944
1440590838,1754,53690944
1440677238,1755,53691968
1441195631,1756,53692992
1441454835,1757,53694016
1441800441,1758,53695040
1443096438,1761,53698112
1443182843,1762,53699136
1443874040,1763,53700160
1444133238,1778,53706304
1444219636,1779,53707328
1444306034,1780,53708352
1444738037,1782,53711424
1444824441,1785,53712960
1444910840,1787,53715008
1444997241,1788,53716032
1445083643,1787,53715776
1445342838,1788,53716800
1445429241,1789,53717824
1445688443,1791,53719872
1445947632,1792,53720896
1446120433,1793,53721920
1446206833,1794,53722944
1446293231,1795,53723968
1446725237,1796,53724992
1446811634,1797,53726016
1446898033,1798,53727040
1447243636,1799,53728064
1447848451,1802,53732160
1447934834,1803,53734208
1448021233,1804,53735232
1448107632,1806,53737280
1448366834,1808,53739328
1448453236,1809,53740352
1448539639,1810,53741376
1448626036,1812,53743424
1448971638,1814,53755712
1449058037,1815,53756736
1449835633,1815,53755712
1449922031,1816,53756224
1450181232,1817,53757248
1450267629,1818,53757760
1450354031,1819,53758784
1450440431,1820,53759808
1450526828,1821,53761856
1450786029,1823,53763904
1451045230,1825,53769024
1451477227,1826,53770048
1451995628,1827,53771072
1452168428,1828,53772096
1452341228,1829,53773120
1452600431,1830,53774144
1452686834,1831,53775168
1452773231,1832,53776192
1452946030,1834,53778240
1453118828,1834,53778240
1453205231,1833,53777216
1453291628,1833,53777216
1453378031,1833,53777216
1453464429,1836,53780288
1453550832,1836,53780288
1453637228,1836,53780288
1453723630,1836,53780288
1454155631,1838,53782336
1454414837,1841,53798720
1454674027,1842,53799744
1455019629,1845,53802816
1455106028,1846,53803840
1455365229,1846,53818176
1455624426,1848,53819456
1455710828,1849,53820480
1455797229,1849,53755968
1455883630,1850,53756992
1455970028,1851,53758016
1456315628,1852,53758528
1456574828,1854,53760576
1457093231,1856,53762624
1457179633,1857,53763648
1457438832,1858,53764672
1457525231,1862,53768768
1457611629,1865,53772864
1457784429,1865,53769792
1458130029,1866,53770816
1458734832,1867,53771840
1458821236,1868,53772864
1459339631,1869,53773888
1459512429,1870,53774912
1459598829,1871,53775936
1460203629,1872,53777984
1460722080,1873,53779008
1460808431,1874,53780032
1461067631,1875,53781056
1461240435,1878,53784128
1461326831,1880,53786176
1461413232,1881,53787200
1461672435,1882,53788224
1461931631,1883,53789248
1462277235,1885,53791296
1462450032,1886,53791552
1462622834,1889,53794624
1462882035,1890,53795648
1462968433,1892,53800768
1463054832,1895,53826368
1463573235,1896,53828416
1463659633,1898,53830464
1463746032,1899,53831488
1463832434,1902,53834560
1464091638,1905,53837632
1464437235,1906,53838656
1464782834,1907,53839680
1464869232,1908,53905216
1465042040,1909,53906240
1465474034,1910,53907264
1465646832,1911,53908288
1465906032,1912,53909312
1466165234,1913,53910336
1466251631,1914,53911360
1466510835,1915,53912384
1466597234,1918,53915456
1466856433,1917,53913408
1467374840,1918,53914432
1467461235,1920,53916480
1467720434,1921,53917504
1467806835,1922,53918528
1467979632,1923,53919552
1468066030,1925,53922624
1468325233,1926,53923648
1468411634,1928,53925696
1468584435,1929,53926720
1469016434,1927,53923648
1469189253,1928,53924672
1469275636,1929,53925696
1470139636,1930,53926720
1470226036,1931,53927744
1470312438,1932,53928768
1470398835,1933,53929792
1470485235,1934,53930816
1471694834,1936,53932864
1471954040,1938,53934144
1472126837,1939,53935168
1472213237,1941,53937216
1472904439,1940,53936704
1473250034,1941,53944896
1473422845,1942,53945920
1473509244,1943,53947968
1473768435,1945,53950016
1473941240,1948,53953088
1474027640,1950,53955136
1474114037,1952,53957184
1474459641,1955,53960256
