DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,4,10240
1438136187,4,10240
1438136187,4,10240
1440631768,4,10240
1446103148,5,10496
1457913920,6,10752
1459215119,4,10240
1465357136,5,10496
1467243763,4,10240
1469759141,5,10496
1472424244,4,10240
1481597487,5,10496
1483056452,4,10240
1488152366,5,10496
1490917929,4,10240
1493318955,5,10496
1498709715,4,10240
1504170069,5,10496
1509242222,6,10752
1511913666,4,10240
1517223854,5,10496
1519685203,4,10240
1521068847,6,10752
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1527721309,4,10240
1530232714,5,10496
1532913201,4,10240
