DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,78,103424
1438136187,78,103424
1438136187,78,103424
1440631768,79,104448
1440631768,79,104448
1443512099,79,105984
1446103148,80,106240
1448836885,81,105728
1451465577,77,104192
1454025634,82,105472
1454452580,77,104192
1456617637,80,105728
1457913920,79,105472
1459215119,80,105728
1461880281,80,104960
1464584821,79,105472
1465357136,81,105216
1467243763,78,105216
1469759141,79,105472
1477611060,82,108544
1479089381,78,104960
1480463219,83,106240
1481597487,81,106496
1483056452,82,106752
1485219556,76,105216
1488152366,81,106496
1490917929,82,106752
1493318955,78,104960
1496154684,84,104960
1498709715,82,104704
1501291994,82,105984
1503993911,77,103936
1506621513,78,104960
1509242222,81,104960
1510612529,79,105216
1511913666,77,103936
1514507841,81,105728
1519685203,79,105216
1521068847,81,106496
1522340070,84,107264
1525042003,84,108800
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1527721309,81,107008
1530232714,84,108544
1532913201,81,107776
