DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,91,508160
1438136187,91,508160
1438136187,91,508160
1440631768,91,508160
1443512099,83,507648
1446103148,84,507648
1451465577,85,507904
1454025634,85,508672
1454452580,84,508928
1456617637,85,509952
1457913920,86,510208
1459215119,88,513024
1461880281,92,515840
1467243763,93,516352
1469759141,94,517376
1472424244,96,518912
1475106770,99,520448
1480463219,98,519424
1483056452,99,519680
1485219556,100,520192
1490917929,99,518656
1493318955,102,521728
1496154684,118,521984
1498709715,121,525312
1501291994,123,527360
1503993911,124,528384
1504170069,125,528640
1506621513,124,529152
1509242222,143,534784
1510612529,136,535552
1511913666,130,535808
1514507841,119,538624
1517223854,120,539136
1519685203,122,541184
1522340070,123,537600
1525042003,124,538624
1527721309,127,540928
1527721309,127,540928
1527721309,127,540928
1527721309,127,540928
1527721309,127,540928
1527721309,127,540928
1530232714,127,540928
1532913201,128,541952
