DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,6878,27921664
1438136187,6878,27921664
1438136187,6878,27921664
1440631768,9068,27146752
1440631768,9068,27146752
1443512099,6671,26267648
1446103148,5560,28337408
1448836885,5429,28244480
1451465577,5527,28194816
1454025634,4707,27799040
1454452580,4695,27796992
1456617637,4601,27945472
1457913920,4675,27869440
1459215119,4184,27995904
1461880281,4249,27788544
1464584821,3049,27788032
1465357136,3037,27776768
1467243763,3083,28042496
1469759141,3113,28062208
1472424244,3320,28322560
1475106770,3367,28397056
1477611060,3163,28148224
1479089381,3054,28189440
1480463219,3067,28179968
1481597487,3110,28178944
1483056452,3082,28168448
1485219556,3111,28184832
1488152366,3080,28174080
1490917929,3098,28156160
1493318955,3144,28154880
1496154684,3686,28069888
1498709715,3588,28172032
1501291994,3614,28115200
1503993911,3509,28166656
1504170069,3531,28166400
1506621513,3579,28190208
1509242222,4313,28401920
1510612529,4323,28401920
1511913666,3582,28185344
1514507841,3595,28273664
1517223854,3601,28243712
1519685203,3644,28414976
1521068847,3614,28452864
1522340070,3628,28446720
1525042003,3573,28474624
1527721309,3519,28825856
1527721309,3519,28825856
1527721309,3519,28825856
1527721309,3519,28825856
1527721309,3519,28825856
1527721309,3519,28825856
1530232714,3509,28760064
1532913201,3517,28840704
