DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,12,7936
1438136187,12,7936
1438136187,12,7936
1440631768,18,13824
1440631768,18,13824
1443512099,10,7680
1446103148,11,7936
1454025634,12,8192
1456617637,11,7936
1459215119,12,8192
1461880281,11,7936
1465357136,10,7424
1467243763,12,8192
1469759141,10,7424
1472424244,9,7168
1477611060,22,16128
1479089381,22,13312
1480463219,21,12288
1481597487,13,12800
1483056452,12,12544
1490917929,13,12800
1496154684,12,12544
1498709715,13,12800
1501291994,14,13056
1503993911,15,13312
1506621513,14,13056
1517223854,16,13568
1527721309,16,13568
1527721309,16,13568
1527721309,16,13568
1527721309,16,13568
1527721309,16,13568
1527721309,16,13568
