DateTime,AddedIPs,RemovedIPs
1490345260,126195,19460
1490431987,109865,28760
1490518966,53675,10809
1490605976,29310,48942
1490692979,64638,13043
1490779693,35664,35802
1490866686,55593,27965
1490953694,36145,35159
1491040747,32931,22510
1491127726,31692,17444
1491214777,29968,17796
1491301774,24550,25657
1491388719,17995,23926
1491475721,20088,28360
1491562706,22055,28552
1491649732,38621,27840
1491736701,15362,19233
1491823708,17230,20033
1491910419,50038,18630
1491997435,229581,18681
1492084410,177098,8234
1492171423,105333,14916
1492258435,144821,18033
1492345418,14788,18037
1492432430,90148,17519
1492519144,118141,13328
1492606150,133300,67006
1492693147,251121,101199
1492780154,182481,120617
1492867146,35396,115738
1492954124,10566,128927
1493041120,103484,114907
1493128135,198585,28045
1493215140,139639,29482
1493302133,50829,35828
1493389130,13268,45077
1493476105,10192,38125
1493563115,9420,34761
1493650108,8658,29979
1493737119,118239,27173
1493824153,13009,28597
1493911117,13374,20882
1493998117,16785,16853
1494085126,21134,20192
1494172108,17846,38795
1494259129,17639,14934
1494346114,17419,440457
1494433102,445159,20715
1494520103,48130,73103
1494607096,46001,164743
1494694377,23852,165031
1494781381,10494,117185
1494912171,52484,114903
1495042968,92917,144771
1495173766,21212,118699
1495304536,22159,384636
1495391523,14445,191891
1495522319,57108,22138
1495609629,44819,12243
1495740711,60508,354537
1495827700,53186,207928
1495914698,19986,24226
1496001703,16828,11672
1496088702,15182,9452
1496219498,17980,12453
1496306503,14421,44862
1496394124,48807,142519
1496482033,19445,11924
1496613091,18415,28164
1496700392,22941,17881
1496787696,59697,17962
1496874694,38179,19969
1496961694,11544,19755
1497048694,36394,18876
1497135688,10468,42775
1497222685,9813,54465
1497309681,13665,21953
1497396701,187020,10369
1497483703,48627,49453
1497570695,28803,65099
1497657701,163919,34566
1497744708,11044,14872
1497832046,11072,13141
1497919030,111489,31187
1498006026,118235,13709
1498093316,109609,46655
1498180316,30091,42048
1498311119,49297,40670
1498441908,14199,83847
1498529213,28756,17631
1498616214,15626,89042
1498703218,136600,12484
1498790516,15827,12026
1498877527,114682,12387
1498964831,65949,30257
1499051822,14280,177791
1499138841,316492,14167
1499225862,230154,38761
1499312875,187862,19499
1499443384,17311,82442
1499530380,7717,131249
1499617380,140330,50837
1499704378,40205,46744
1499791374,45619,180341
1499965672,191627,126202
1500096464,20416,72688
1500183769,10864,44011
1500314558,40923,144281
1500400692,18673,10088
1500487061,124524,83057
1500573458,61677,86671
1500659844,28023,159089
1500746244,13949,28735
1500832641,11768,46295
1500919040,21197,11212
1501005484,15133,8218
1501091861,52747,24966
1501178261,25635,17493
1501264667,59156,55595
1501351062,35367,13458
1501437454,12309,37610
1501523857,146435,129665
1501610281,134232,15318
1501696695,94582,91258
1501783070,45059,237033
1501869439,70224,301574
1501955833,20025,17353
1502042243,12208,10251
1502128633,20580,8152
1502215036,10918,21762
1502301440,61177,24573
1502387842,13678,14072
1502474236,28352,15737
1502560629,15828,11623
1502647046,11241,14003
1502733437,16666,11510
1502819851,16779,10627
1502906236,65567,12507
1502992640,82766,18485
1503079040,90970,114401
1503165381,14773,65999
1503251775,7377,25805
1503338187,70191,13376
1503424586,66863,11367
1503510994,73478,19247
1503597400,72664,14500
1503683802,90437,44223
1503770199,15179,23258
1503856588,9532,55819
1503942996,48046,32173
1504029409,48583,11626
1504115792,93738,131125
1504202183,54472,175659
1504288587,97115,133058
1504374984,13963,45591
1504461377,8238,71815
1504547781,25921,19492
1504634187,18892,11861
1504720596,127061,19896
1504806996,83059,10740
1504893387,101957,58935
1504979788,24212,13213
1505066193,21610,27124
1505152608,78329,15437
1505239008,59862,10763
1505325410,18917,16194
1505411851,86547,16245
1505498215,18276,57085
1505584597,11632,77865
1505670989,9362,87297
1505757414,45828,14519
1505843871,74011,7255
1505930216,64473,62871
1506016612,45061,61192
1506102999,89617,84442
1506189390,16361,83562
1506275790,19297,104493
1506362209,56555,15280
1506448589,48211,10133
1506535027,149924,45313
1506621458,200994,45237
1506707850,143475,91291
1506794242,41785,55217
1506880638,72488,98216
1506967065,188812,14653
1507053468,201221,8014
1507139881,151799,25910
1507226259,80248,16616
1507312677,168588,108803
1507399081,138313,77340
1507485504,122011,91037
1507571895,159448,22847
1507658330,194961,20355
1507744739,101742,70043
1507831108,21980,53438
1507917542,22422,18025
1507939103,3520,5009
1508111891,498,92159
1508198288,0,10218
1508284690,12131,9036
1508371087,62336,45109
1508458090,110043,67770
1508543889,41527,55498
1508630310,14250,43901
1508716690,13483,68188
1508803099,16826,16089
1508889523,42310,17827
1508975909,43860,50045
1509062327,14697,32890
1509148688,14421,148458
1509235098,86628,174062
1509321493,103132,134011
1509407915,142552,32891
1509494405,156162,80500
1509580732,134494,178866
1509667106,113283,191884
1509753524,129799,130421
1509839913,69825,67743
1509926324,25291,173994
1510012694,28491,141765
1510099093,122920,114209
1510185501,160182,167172
1510271878,126406,236337
1510358288,126060,109616
1510444703,47363,20485
1510531110,9511,20829
1510617512,8899,1109
1510703893,41329,93
1510833531,27653,139
1510919910,14049,33580
1511006311,11078,87507
1511092733,6905,91004
1511179133,74756,17377
1511265513,68824,14159
1511351943,112810,12844
1511438338,77803,15909
1511524752,96440,63086
1511611110,12552,12817
1511697542,6197,12816
1511783924,7515,39439
1511870317,9880,65838
1511956704,9897,119412
1512043092,24728,168349
1512129507,20770,143298
1512215865,20275,158863
1512302249,8794,112981
1512388639,29336,148145
1512475050,50266,32489
1512561473,27491,24363
1512647850,34328,46014
1512734241,32245,178369
1512820629,15439,160735
1512906992,6825,170771
1512993395,8268,130762
1513079793,55252,9468
1513166213,27110,8086
1513252623,35830,23799
1513338997,33790,29011
1513425449,21943,18152
1513511810,7968,12550
1513598198,9162,10898
1513684628,10161,6453
1513771003,55381,66528
1513857409,66435,84032
1513943787,33137,124600
1514030250,40217,79615
1514116609,7866,169196
1514202973,8149,12198
1514289376,8877,6212
1514375771,45043,7672
1514462179,52910,8780
1514548593,57994,9105
1514635025,18056,24006
1514721373,7758,19681
1514807786,6176,20669
1514894192,7186,8785
1514980592,7957,23143
1515066992,6872,56764
1515153376,8308,25652
1515239812,7039,36471
1515326193,6430,35951
1515412581,7732,15803
1515498992,7278,6986
1515585365,9087,8469
1515671797,9578,52581
1515758161,42526,26523
1515844598,9146,35302
1515930977,94345,33083
1516017392,119025,22049
1516103820,157768,7996
1516190232,166423,9059
1516276642,156336,9534
1516363050,61208,53242
1516449534,8127,63056
1516535815,7476,38199
1516622213,8697,40658
1516708648,9297,8605
1516795051,8694,8436
1516881424,9399,8907
1516967846,8388,39063
1517054232,8061,51894
1517140639,68670,64112
1517227063,177017,19508
1517313516,160752,7727
1517399886,153627,6911
1517486285,137623,7782
1517572706,84773,8426
1517659188,76245,7244
1517745487,52311,8316
1517831903,21342,7153
1517918298,8898,6686
1518004698,8080,7901
1518091133,10218,7290
1518177711,8889,8884
1518264150,7863,9432
1518350316,9233,35427
1518436683,7181,8927
1518523169,8313,76363
1518609516,8072,101598
1518695879,10731,144003
1518782287,8064,172673
1518868762,7192,161486
1518955038,6679,65659
1519020436,3184,6333
1519106210,1881,7534
1519192647,0,8102
1519279054,0,9455
1519365496,39498,8305
1519451861,8355,9449
1519538265,6935,8299
1519624660,7355,7956
1519711087,14530,7391
1519797471,7965,146926
1519883852,10424,187558
1519970269,8548,187492
1520056662,9369,166585
1520143042,9768,107009
1520229440,9281,84390
1520315844,23871,65709
1520348325,12620,22828
1521305869,128418,189323
1521392251,9533,7935
1521478653,9785,7182
1521565053,10008,6821
1521651382,10087,31877
1521737835,10724,6086
1521824205,9726,90
1521910598,7956,19
1521994930,7252,9345
1522079811,10732,7589
1522166211,20966,6678
1522252635,8290,13996
1522339081,7452,2738
1522425415,10052,39
1522511796,9714,22
1522598256,7570,22
1522684618,24702,48
1522771000,34320,70
1522857412,10037,61
1522943817,8000,11117
1523030223,8309,7799
1523116601,7989,12491
1523202989,8983,9808
1523289403,9273,10205
1523375773,7996,7070
1523462224,10453,8091
1523548571,8160,18231
1523634970,7798,9439
1523721345,6642,11194
1523807743,12970,18618
1523894139,11750,12184
1523980537,13801,10029
1524066932,8715,9503
1524153329,6569,9560
1524239754,6989,10482
1524326132,8221,10691
1524412525,7179,9293
1524498930,9003,8458
1524585330,11930,7609
1524671857,14723,10752
1524758131,10514,20294
1524844526,14644,8861
1524930927,11903,7290
1525017329,9203,9702
1525103725,12598,9672
1525190126,10694,7406
1525276551,14374,24159
1525362924,13417,34016
1525449327,64034,9718
1525535727,12703,7615
1525622130,13019,8091
1525708537,13443,9048
1525794930,16709,9834
1525881326,10979,9202
1525967727,9297,7934
1526054124,8504,10358
1526140527,8215,8021
1526226941,13788,7795
1526313330,10171,6649
1526399727,8220,13012
1526486127,13436,11527
1526572527,15503,13386
1526658927,13023,8721
1526745326,8520,6608
1526831726,7592,7003
1526918127,8996,8200
1527004525,8278,7348
1527090929,8272,8957
1527177329,8097,11822
1527263723,7502,14787
1527350122,6949,10506
1527436525,8411,14682
1527522923,10900,12045
1527609323,10212,9330
1527695739,9149,12801
1527782128,8427,10839
1527868532,7867,14658
1527954923,7374,13581
1528041322,7435,64139
1528127736,7968,12596
1528214182,7887,13054
1528300544,8861,13316
1528386969,11408,16589
1528473332,8450,10821
1528559734,6370,10031
1528646133,9846,8365
