DateTime,AddedIPs,RemovedIPs
1488464221,1,1
1488550622,1,1
1488723421,1,2
1488809822,1,1
1488896222,0,1
1488982621,1,0
1489069021,1,2
1489155422,1,1
1489241822,1,2
1489324621,1,1
1489411021,1,2
1489497422,1,2
1489583822,1,1
1489670222,1,2
1489756621,1,2
1489843022,1,1
1489929421,1,1
1490015822,1,1
1490102222,1,1
1490188622,1,1
1490275021,1,1
1490361422,1,1
1490447822,1,0
1490534222,1,2
1490620622,1,1
1490707021,1,0
1490793422,1,1
1490879821,0,1
1490966222,1,1
1491052622,2,1
1491139022,1,1
1491225421,2,1
1491311822,2,1
1491398222,0,1
1491484622,2,0
1491571022,1,1
1491657422,1,1
1491743822,2,1
1491830222,1,1
1491916622,1,1
1492003022,0,1
1492089422,1,0
1492175822,1,1
1492262221,2,1
1492348623,1,1
1492435022,1,1
1492521422,1,1
1492607822,1,1
1492694222,1,1
1492780622,1,1
1492867022,1,1
1492953422,1,1
1493039822,1,1
1493126223,0,1
1493212622,1,0
1493299022,1,1
1493385422,1,2
1493471822,1,1
1493558222,1,2
1493644622,1,2
1493731022,1,1
1493817422,1,1
1493903823,2,1
1493990222,2,0
1494076622,2,1
1494163022,0,2
1494249423,1,0
1494335823,3,1
1494422223,0,1
1494508622,0,1
1494595022,1,1
1494681422,0,1
1494767822,1,1
1494854223,1,1
1494940622,0,1
1495027023,1,1
1495113422,3,1
1495199822,0,1
1495286222,1,1
1495372622,1,1
1495459022,0,1
1495545422,2,1
1495631822,0,1
1495804622,1,1
1495891022,1,1
1495977422,0,1
1496063822,1,2
1496150223,1,1
1496236622,3,2
1496323022,7,2
1496409422,6,1
1496495823,0,1
1496582222,0,1
1496668622,3,1
1496755022,1,1
1496841422,2,1
1497014222,0,1
1497100623,0,1
1497187022,2,0
1497446222,0,1
1497532622,0,1
1497619022,0,1
1497705423,8,1
1497791823,11,0
1497878222,2,1
1497964623,2,1
1498051022,1,1
1498137422,6,1
1498223823,17,0
1498310223,15,1
1498396622,13,1
1498483022,27,2
1498569423,17,2
1498655822,22,1
1498742223,12,2
1498828623,9,5
1498915023,16,6
1499001423,17,2
1499087823,10,2
1499174222,17,0
1499260623,5,1
1499347023,20,2
1499433422,13,0
1499519823,14,1
1499865421,0,1
1500383821,0,12
1500470222,7,1
1500556621,0,2
1500643022,2,0
1500729421,5,2
1500815821,2,10
1500902222,0,11
1500988622,0,1
1501075022,0,29
1501161422,2,14
1501247822,4,21
1501334222,0,23
1501420621,2,7
1501507022,0,15
1501593422,0,17
1501679822,0,10
1501766221,1,20
1501852621,0,8
1501939021,1,30
1502025421,0,26
1502111821,0,27
1502198221,0,2
1502889421,7,0
1502975821,5,0
1503062222,6,1
1503148621,9,6
1503235021,10,0
1503321421,2,0
1503407821,3,0
1503494222,5,1
1503580622,4,1
1503667022,5,0
1503753421,3,1
1503839821,4,1
1503926221,0,1
1504012621,3,0
1504099021,8,1
1504185421,1,0
1504271822,6,1
1504358222,1,0
1504444622,1,0
1504531021,0,1
1504617421,0,1
1504703821,1,0
1504790222,3,0
1504876622,6,0
1504963022,7,0
1505049421,4,0
1505135822,0,1
1505308621,4,0
1505395022,2,4
1505481422,6,1
1505567822,16,10
1505654222,3,8
1505740621,2,7
1505827021,2,4
1505913421,7,4
1505999822,14,6
1506086221,20,3
1506172622,10,3
1506259022,9,2
1506345421,1,4
1506431822,3,1
1506518222,5,7
1506604622,11,4
1506691022,11,7
1506777422,21,4
1506863822,7,6
1507036622,0,1
1507123022,2,1
1507209422,17,0
1507295822,13,1
1507382222,11,1
1507468621,8,3
1507555022,1,7
1507641422,2,0
1507727822,8,1
1507814222,8,1
1507900623,3,3
1507987022,7,3
1508073422,8,3
1508159822,3,4
