DateTime,Entries,UniqueIPs
1512592339,4987,4987
1512623538,339,339
1512709977,5725,5725
1512796630,5301,5301
1512882655,4810,4810
1512969443,4975,4975
1513054931,4783,4783
1513142018,4788,4788
1513228632,5106,5106
1513314756,4727,4727
1513401417,4146,4146
1513487812,3903,3903
1513573965,3804,3804
1513660370,4108,4108
1513746798,4235,4235
1513833184,4104,4104
1513919589,4144,4144
1514006233,4011,4011
1514092597,3803,3803
1514178694,3685,3685
1514265317,3964,3964
1514351757,4134,4134
1514438022,4231,4231
1514524373,4058,4058
1514610775,4088,4088
1514697092,3891,3891
1514783594,3558,3558
1514869990,3445,3445
1514956352,3787,3787
1515042745,4013,4013
1515129206,3732,3732
1515215664,4004,4004
1515302217,3753,3753
1515388387,3483,3483
1515475203,3980,3980
1515561264,4139,4139
1515647609,4159,4159
1515733973,4202,4202
1517651102,3797,3797
1517721261,3589,3589
1517807607,3542,3542
1517894241,3983,3983
1517980385,4051,4051
1518066773,5355,5355
1518153424,4078,4078
1518240021,4043,4043
1518326477,3892,3892
1518412877,3892,3892
1518499029,3789,3789
1518585671,3641,3641
1518671802,3630,3630
1518758220,3530,3530
1518844630,3388,3388
1518930833,3377,3377
1519017431,3242,3242
1519103593,3298,3298
1519189972,3262,3262
1519276622,3381,3381
1519362635,3537,3537
1519449109,3467,3467
1519535822,3458,3458
1519622031,3332,3332
1519708524,3747,3747
1519794824,3584,3584
1519881459,3655,3655
1519967608,4058,4058
1520054258,4504,4504
1520140397,3282,3282
1520226827,5194,5194
1520313200,3696,3696
1520399876,3626,3626
1520486030,3847,3847
1520572418,3797,3797
1520658862,3852,3852
1520745203,3445,3445
1520831871,3446,3446
1520917996,3881,3881
1521004280,3823,3823
1521091051,3725,3725
1521177166,3554,3554
1521263601,3442,3442
1521350014,3290,3290
1521436395,3201,3201
1521522820,3510,3510
1521609171,3602,3602
1521695566,3629,3629
1521781978,4978,4978
1521868373,3935,3935
1521954851,4155,4155
1522041243,4398,4398
1522127839,5100,5100
1522214334,4784,4784
1522300625,4609,4609
1522386840,4550,4550
1522473272,4507,4507
1522559604,4173,4173
1522646000,3994,3994
1522732389,4346,4346
1522818796,5382,5382
1522905184,3497,3497
1522991569,3631,3631
1523078011,3903,3903
1523164368,3465,3465
1523251021,3542,3542
1523337193,3611,3611
1523423575,3806,3806
1523510216,4410,4410
1523596379,3858,3858
1523682768,3743,3743
1523769431,3629,3629
1523855431,3093,3093
1523942244,3483,3483
1524028640,3524,3524
1524114789,3471,3471
1524201350,3514,3514
1524287684,3641,3641
1524374229,3690,3690
1524460232,3241,3241
1524546760,3710,3710
1524633333,3519,3519
1524720025,3719,3719
1524806247,3763,3763
1524892390,3554,3554
1524979088,3395,3395
1525065196,3187,3187
1525151812,3155,3155
1525238004,3158,3158
1525324650,3546,3546
1525411058,3666,3666
1525497201,3333,3333
1525584009,3256,3256
1525669979,3547,3547
1525756619,4047,4047
1525842798,3875,3875
1525929433,3894,3894
1526015569,3546,3546
1526101883,3726,3726
1526188596,3426,3426
1526275324,3085,3085
1526361421,3335,3335
1526447911,3248,3248
1526534023,3276,3276
1526966081,5229,5229
1527052392,3400,3400
1527138788,3855,3855
1527225063,3971,3971
1527291366,3971,3971
1527293567,3971,3971
1527295616,3971,3971
1527298174,3971,3971
1527299622,3971,3971
1527300924,3971,3971
1527302281,3971,3971
1527303236,3971,3971
1527304648,3971,3971
1527305675,3971,3971
1527306924,3971,3971
1527311257,3971,3971
1527312724,3852,3852
1527314177,3852,3852
1527315476,3852,3852
1527316688,3852,3852
1527317574,3852,3852
1527318601,3852,3852
1527319694,3852,3852
1527320972,3852,3852
1527322916,3852,3852
1527325328,3852,3852
1527336905,3852,3852
1527338233,3852,3852
1527339173,3852,3852
1527340399,3852,3852
1527341666,3852,3852
1527342566,3852,3852
1527343556,3852,3852
1527344858,3852,3852
1527346523,3852,3852
1527347876,3852,3852
1527350730,3852,3852
1527352752,3852,3852
1527354295,3852,3852
1527355518,3852,3852
1527356901,3852,3852
1527358196,3852,3852
1527359836,3852,3852
1527361566,3852,3852
1527366777,3852,3852
1527368264,3852,3852
1527369518,3852,3852
1527371146,3852,3852
1527372665,3852,3852
1527373977,3852,3852
1527375552,3852,3852
1527379877,3852,3852
1527381338,3852,3852
1527382716,3852,3852
1527383956,3852,3852
1527385536,3852,3852
1527386932,3852,3852
1527388159,3852,3852
1527389643,3852,3852
1527390855,3852,3852
1527391961,3852,3852
1527392964,3852,3852
1527393937,3852,3852
1527395170,3852,3852
1527396102,3852,3852
1527398059,1010,1010
1527400204,1010,1010
1527485302,3739,3739
1527571006,3906,3906
1527657152,4017,4017
1527743558,3983,3983
1527829968,3938,3938
1527914430,3938,3938
1527916481,3904,3904
1527918694,3904,3904
1527921152,3904,3904
1527923346,3904,3904
1527924857,3904,3904
1527926043,3904,3904
1527927464,3904,3904
1527929787,3904,3904
1527930877,3904,3904
1527931846,3904,3904
1527933088,3904,3904
1527934291,3904,3904
1527935230,3904,3904
1527937886,3904,3904
1527939044,3904,3904
1527940248,3904,3904
1527941472,3904,3904
1527942660,3904,3904
1527943807,3904,3904
1527944983,3904,3904
1527946035,3904,3904
1527947228,3904,3904
1527948142,3904,3904
1527949085,3904,3904
1527951407,3904,3904
1527952480,3904,3904
1527953737,3904,3904
1527955059,3904,3904
1527956424,3904,3904
1527959792,3904,3904
1527961212,3904,3904
1527962370,3904,3904
1527965983,3904,3904
1527967238,3904,3904
1527968435,3904,3904
1527969579,3904,3904
1527973859,3904,3904
1527974877,3904,3904
1527976199,3904,3904
1527977303,3904,3904
1527978638,3904,3904
1527983002,3904,3904
1527984252,3904,3904
1527985454,3904,3904
1527986657,3904,3904
1527987800,3904,3904
1527991415,3904,3904
1527992590,3904,3904
1527993836,3904,3904
1527995078,3904,3904
1527996237,3904,3904
1527997483,3904,3904
1527998629,3904,3904
1527999885,3904,3904
1528002242,3904,3904
1528003405,4332,4332
1528004878,4332,4332
1528089157,3671,3671
1528175569,4100,4100
1528261987,3937,3937
1528311729,3937,3937
1528320518,3937,3937
1528324435,3937,3937
1528326796,3937,3937
1528331849,3937,3937
1528348380,4040,4040
1528434819,3873,3873
1528521181,3866,3866
1528607594,3715,3715
1528693966,3765,3765
1528780356,4127,4127
1528866749,4036,4036
1528953212,4220,4220
1529039573,5152,5152
1529125951,4903,4903
1529212619,4256,4256
1529298769,3911,3911
1529385148,4261,4261
1529471544,4469,4469
1529558214,4470,4470
1529644357,4366,4366
1529730648,4704,4704
1529817162,4664,4664
1529903802,4673,4673
1529989961,3337,3337
1530076378,5748,5748
1530162763,5259,5259
1530249177,5129,5129
1530335585,4739,4739
1530421976,4488,4488
1530508370,4168,4168
1530594791,4152,4152
1530681173,4556,4556
1530767565,4404,4404
1530853989,4648,4648
1530940654,4631,4631
1531199587,8512,8512
1531977485,4884,4884
1532063647,4938,4938
1532150250,4721,4721
1532236630,4721,4721
1532322810,4230,4230
1532409158,4962,4962
1532495801,5280,5280
1532581979,5291,5291
1532668357,5394,5394
1532754630,5536,5536
1532841166,4816,4816
1532927563,4630,4630
1533014010,4728,4728
1533100367,4706,4706
1533187083,4489,4489
1533273158,4572,4572
1533359629,4474,4474
1533446224,4309,4309
1533532350,4293,4293
1533618781,4584,4584
1533792284,4332,4332
1533877985,4309,4309
1533964380,4436,4436
1534051042,4370,4370
1534137201,4453,4453
1534223553,4615,4615
1534309974,4727,4727
1534396392,4908,4908
1534482795,4870,4870
1534569390,4837,4837
1534917109,4723,4723
1535001186,4988,4988
1535087591,4786,4786
