DateTime,Entries,UniqueIPs
1512592339,6224,6224
1512623538,238,238
1512709977,6882,6882
1512796631,6611,6611
1512882655,6568,6568
1512969443,6554,6554
1513054931,6024,6024
1513142018,6202,6202
1513228632,6478,6478
1513314756,5800,5800
1513401417,5131,5131
1513487812,4815,4815
1513573966,4630,4630
1513660370,4573,4573
1513746798,4639,4639
1513833184,4731,4731
1513919589,4495,4495
1514006233,4661,4661
1514092597,4646,4646
1514178694,4494,4494
1514265317,4623,4623
1514351758,4718,4718
1514438023,4794,4794
1514524374,4928,4928
1514610776,4970,4970
1514697092,5099,5099
1514783594,4844,4844
1514869990,4905,4905
1514956353,4995,4995
1515042746,5072,5072
1515129206,5069,5069
1515215664,5202,5202
1515302217,5091,5091
1515388387,4993,4993
1515475204,5035,5035
1515561265,5102,5102
1515647609,4900,4900
1515733974,5160,5160
1517651102,5084,5084
1517721262,4946,4946
1517807608,4962,4962
1517894241,5319,5319
1517980385,5075,5075
1518066774,5215,5215
1518153425,4710,4710
1518240022,4756,4756
1518326477,4413,4413
1518412877,4250,4250
1518499029,4274,4274
1518585672,3897,3897
1518671803,4032,4032
1518758221,6804,6804
1518844631,3738,3738
1518930833,3580,3580
1519017431,3630,3630
1519103593,3551,3551
1519189972,3819,3819
1519276622,3700,3700
1519362636,3529,3529
1519449109,3544,3544
1519535823,3698,3698
1519622031,3710,3710
1519708525,3866,3866
1519794825,3749,3749
1519881459,3806,3806
1519967609,3795,3795
1520054258,3626,3626
1520140397,3766,3766
1520226828,3666,3666
1520313201,3648,3648
1520399877,3575,3575
1520486031,3725,3725
1520572419,3521,3521
1520658863,3387,3387
1520745203,3545,3545
1520831871,3453,3453
1520917997,3633,3633
1521004280,3773,3773
1521091052,3782,3782
1521177166,3155,3155
1521263602,3218,3218
1521350015,3603,3603
1521436396,3450,3450
1521522820,3289,3289
1521609171,3304,3304
1521695566,3351,3351
1521781978,3231,3231
1521868373,3675,3675
1521954852,3571,3571
1522041244,3666,3666
1522127840,3959,3959
1522214334,3586,3586
1522300625,3482,3482
1522386841,3521,3521
1522473272,3084,3084
1522559605,2948,2948
1522646001,2922,2922
1522732390,2911,2911
1522818797,2735,2735
1522905184,1609,1609
1522991569,1844,1844
1523078011,1705,1705
1523164368,1736,1736
1523251021,1536,1536
1523337193,1546,1546
1523423576,1516,1516
1523510216,1578,1578
1523596380,1528,1528
1523682768,1613,1613
1523769432,1546,1546
1523855432,1492,1492
1523942245,1542,1542
1524028641,1610,1610
1524114789,1565,1565
1524201350,1642,1642
1524287684,1772,1772
1524374229,1738,1738
1524460232,1956,1956
1524546760,2095,2095
1524633333,2174,2174
1524720026,2482,2482
1524806248,2227,2227
1524892390,1948,1948
1524979088,1844,1844
1525065196,1792,1792
1525151812,1864,1864
1525238004,1826,1826
1525324650,1485,1485
1525411059,1512,1512
1525497202,1501,1501
1525584009,1877,1877
1525669979,2088,2088
1525756619,1786,1786
1525842799,2303,2303
1525929433,3230,3230
1526015569,2419,2419
1526101883,3510,3510
1526188596,2150,2150
1526275325,1733,1733
1526361422,1936,1936
1526447912,2127,2127
1526534023,1912,1912
1526966081,3040,3040
1527052392,1860,1860
1527138788,2583,2583
1527225064,2636,2636
1527291367,2636,2636
1527293567,2636,2636
1527295616,2636,2636
1527298174,2636,2636
1527299623,2636,2636
1527300924,2636,2636
1527302281,2636,2636
1527303236,2636,2636
1527305675,2636,2636
1527309831,2114,2114
1527311257,2636,2636
1527312725,2411,2411
1527314177,2411,2411
1527315477,2411,2411
1527316688,2411,2411
1527317574,2411,2411
1527319694,2411,2411
1527320972,2411,2411
1527321963,2351,2351
1527322916,2411,2411
1527325329,2411,2411
1527326535,2411,2411
1527327550,2411,2411
1527328939,2351,2351
1527330180,2103,2103
1527331060,1860,1860
1527332295,1601,1601
1527333558,1370,1370
1527336905,2411,2411
1527338233,2411,2411
1527339173,2411,2411
1527340399,2411,2411
1527341666,2411,2411
1527342566,2351,2351
1527343556,2411,2411
1527344858,2411,2411
1527346523,2411,2411
1527347876,2411,2411
1527350731,2411,2411
1527352752,2411,2411
1527354296,2411,2411
1527355518,2411,2411
1527356901,2411,2411
1527358196,2411,2411
1527359837,2411,2411
1527361566,2411,2411
1527366777,2411,2411
1527368265,2411,2411
1527369518,2411,2411
1527371146,2411,2411
1527372666,2351,2351
1527375552,2411,2411
1527379877,2411,2411
1527381338,2411,2411
1527382716,2411,2411
1527383956,2411,2411
1527385536,2411,2411
1527386932,2351,2351
1527388159,2411,2411
1527389643,2411,2411
1527392965,2411,2411
1527393938,2411,2411
1527395171,2351,2351
1527396102,2411,2411
1527398060,438,438
1527398989,258,258
1527400204,438,438
1527485302,2146,2146
1527571007,2210,2210
1527657152,2678,2678
1527743558,2857,2857
1527829969,2592,2592
1527914430,2592,2592
1527916481,2585,2585
1527918695,2585,2585
1527921153,2585,2585
1527923347,2585,2585
1527924857,2585,2585
1527926043,2585,2585
1527927465,2585,2585
1527928534,2585,2585
1527929787,2585,2585
1527930878,2585,2585
1527931846,2585,2585
1527933089,2585,2585
1527934291,2585,2585
1527935231,2585,2585
1527936875,2491,2491
1527937887,2585,2585
1527939045,2585,2585
1527940249,2585,2585
1527941472,2585,2585
1527942660,2585,2585
1527943807,2585,2585
1527944983,2585,2585
1527946035,2585,2585
1527947229,2585,2585
1527948142,2585,2585
1527949085,2585,2585
1527950180,2491,2491
1527951407,2585,2585
1527952480,2585,2585
1527953737,2491,2491
1527955059,2585,2585
1527956424,2491,2491
1527957586,2221,2221
1527958711,1955,1955
1527959792,2585,2585
1527961212,2585,2585
1527962371,2585,2585
1527963580,2491,2491
1527964790,2221,2221
1527965983,2585,2585
1527967238,2585,2585
1527968436,2585,2585
1527969579,2585,2585
1527970758,2491,2491
1527971778,2221,2221
1527972897,1955,1955
1527973860,2585,2585
1527974877,2585,2585
1527976200,2585,2585
1527977303,2585,2585
1527978638,2585,2585
1527979854,2491,2491
1527980848,2221,2221
1527982008,1955,1955
1527983002,2585,2585
1527984252,2585,2585
1527985455,2585,2585
1527986657,2585,2585
1527991415,2585,2585
