DateTime,AddedIPs,RemovedIPs
1512623539,4,148
1512709979,180,2
1512796632,123,143
1512882657,155,121
1512969445,164,161
1513054933,117,162
1513142020,129,118
1513228634,167,123
1513314758,141,177
1513401419,116,144
1513487814,122,109
1513573967,137,124
1513660372,115,137
1513746800,129,108
1513833186,119,132
1513919591,107,126
1514006235,137,107
1514092599,159,124
1514178696,120,175
1514265319,151,117
1514351760,123,146
1514438025,109,123
1514524376,127,114
1514610778,125,116
1514697094,141,132
1514783596,128,134
1514869992,136,134
1514956354,112,135
1515042747,95,110
1515129207,114,92
1515215666,126,116
1515302219,101,121
1515388389,131,114
1515475206,152,127
1515561267,210,144
1515647611,142,211
1515733975,163,153
1517651105,172,178
1517721264,121,147
1517807610,92,121
1517894243,91,94
1517980387,135,95
1518066775,115,131
1518153427,87,114
1518240023,128,96
1518326479,115,128
1518412879,103,102
1518499031,112,111
1518585674,95,120
1518671804,95,87
1518758223,112,96
1518844632,129,109
1518930836,114,136
1519017433,113,104
1519103595,89,124
1519189974,105,91
1519276624,104,105
1519362638,100,98
1519449111,89,110
1519535825,104,87
1519622033,102,108
1519708527,111,95
1519794827,121,117
1519881461,119,113
1519967611,123,120
1520054260,131,126
1520140399,118,137
1520226830,128,115
1520313203,115,126
1520399879,127,121
1520486033,128,109
1520572421,140,145
1520658865,118,136
1520745205,114,112
1520831873,137,119
1520917998,120,138
1521004282,120,122
1521091053,128,114
1521177167,90,133
1521263604,88,92
1521350017,115,87
1521436398,127,121
1521522823,103,121
1521609173,111,104
1521695567,101,99
1521781980,86,117
1521868375,82,82
1521954854,98,78
1522041246,119,102
1522127841,154,116
1522214336,122,154
1522300627,125,124
1522386844,101,121
1522473274,139,100
1522559607,243,142
1522646002,211,242
1522732392,132,202
1522818798,127,136
1522905185,68,134
1522991571,66,77
1523078012,70,67
1523164370,78,67
1523251023,79,79
1523337194,71,66
1523423577,101,77
1523510218,64,103
1523596382,79,65
1523682770,96,77
1523769434,290,94
1523855433,94,290
1523942247,112,103
1524028643,110,111
1524093955,0,0
1524097452,0,0
1524114792,123,114
1524124421,0,0
1524201352,117,118
1524287686,143,109
1524374231,580,129
1524460234,88,596
1524546762,357,85
1524633334,92,356
1524720027,102,93
1524806250,80,88
1524892392,93,103
1524979090,80,88
1525065198,115,80
1525151813,141,110
1525238006,180,143
1525324653,212,179
1525411061,136,213
1525497204,128,136
1525584011,148,127
1525669981,667,154
1525756622,732,655
1525842801,678,743
1525929435,933,675
1526015571,404,930
1526101886,353,408
1526188598,381,351
1526275326,274,386
1526309745,0,0
1526361424,321,270
1526447913,279,320
1526534026,295,277
1526966084,628,300
1527052394,368,619
1527138790,446,373
1527225065,502,432
1527291368,0,0
1527293569,0,0
1527295617,0,0
1527298177,0,0
1527299624,0,0
1527300926,0,0
1527302283,0,0
1527303238,0,0
1527304651,0,0
1527305677,0,0
1527306927,0,266
1527308465,0,277
1527309833,0,0
1527311259,543,0
1527312726,457,505
1527314178,0,0
1527315478,0,0
1527316691,0,0
1527317575,0,0
1527318603,0,0
1527319696,0,0
1527320973,0,0
1527321965,0,0
1527322917,0,0
1527324176,0,0
1527325330,0,0
1527326538,0,0
1527327552,0,216
1527328941,0,279
1527330182,0,0
1527331063,0,0
1527332297,0,0
1527333559,0,0
1527334615,0,0
1527335903,0,0
1527336907,495,0
1527338235,0,0
1527339175,0,0
1527340401,0,0
1527341669,0,0
1527342568,0,0
1527343558,0,0
1527344860,0,0
1527346525,0,0
1527347878,0,0
1527350732,0,0
1527352753,0,0
1527354297,0,0
1527355520,0,0
1527356903,0,0
1527358197,0,0
1527359838,0,0
1527361568,0,0
1527362805,0,0
1527364324,0,0
1527366779,0,495
1527368267,0,0
1527369520,495,0
1527371148,0,0
1527372667,0,0
1527373980,0,0
1527375554,0,0
1527377277,0,0
1527378896,0,0
1527379879,0,0
1527381339,0,0
1527382717,0,0
1527383958,0,0
1527385538,0,0
1527386934,0,0
1527388161,0,0
1527389644,0,0
1527390856,0,216
1527391963,0,0
1527392966,216,0
1527393939,0,0
1527395173,0,0
1527396104,0,0
1527397026,0,0
1527398061,84,488
1527398991,0,0
1527400206,0,0
1527485304,496,86
1527571008,535,471
1527657153,529,529
1527743560,451,518
1527829970,471,471
1527914432,0,0
1527916483,0,472
1527918696,0,0
1527921154,0,0
1527923349,0,0
1527924859,0,0
1527926046,0,0
1527927466,0,0
1527928536,0,0
1527929789,0,0
1527930880,0,0
1527931848,0,0
1527933090,0,0
1527934293,0,0
1527935232,0,0
1527936878,0,0
1527937888,0,0
1527939047,0,0
1527940250,0,0
1527941475,0,0
1527942662,0,0
1527943809,0,0
1527944985,0,0
1527946037,0,0
1527947231,0,0
1527948144,0,0
1527949088,0,0
1527950182,0,0
1527951409,0,0
1527952482,0,0
1527953739,0,0
1527955061,0,0
1527956426,0,224
1527957588,0,0
1527958713,0,0
1527959794,224,0
1527961214,0,0
1527962372,0,0
1527963582,0,0
1527965985,0,0
1527967240,0,0
1527968437,0,0
1527969581,0,0
1527970760,0,0
1527971780,0,0
1527972899,0,224
1527973862,224,0
1527974881,0,0
1527976201,0,0
1527977306,0,0
1527983004,0,0
1527984254,0,0
1527985456,0,0
1527986660,0,0
1527991417,0,0
1527992592,0,0
1527993838,0,0
1527995080,0,0
1527996239,0,0
1527997486,0,224
1527998633,0,0
1527999887,224,0
1528001100,0,0
1528002245,0,224
1528003407,469,264
1528004880,0,0
1528089159,425,454
1528175570,481,436
1528261989,471,474
1528308301,0,0
1528311731,0,0
1528313600,0,0
1528320520,0,0
1528324437,0,0
1528326798,0,0
1528331850,0,0
1528333316,0,0
1528348383,474,466
1528434821,399,473
1528521183,456,397
1528607597,494,451
1528693968,1097,490
1528780358,1455,928
1528866751,1502,1358
1528953214,2543,1408
1529039575,1811,2504
1529125952,2142,1864
1529212621,1592,2158
1529298771,1219,1617
1529385149,1150,1296
1529471546,779,1236
1529558216,715,809
1529644359,1601,740
1529730650,2348,1482
1529817165,2387,2158
1529903804,2153,2299
1529989962,1402,2336
1530076380,4386,1442
1530162764,5387,3548
1530249179,11308,5006
1530335587,7554,11230
1530421978,3111,7887
1530508372,1463,3506
1530594794,1498,1659
1530681175,1791,1476
1530767567,1362,1761
1530853992,1382,1354
1530940657,1489,1432
1531199588,4716,1442
1531977487,1147,5037
1532063650,1486,1036
1532150252,1092,1485
1532236632,1020,1146
1532322812,1053,1006
1532409160,1135,1091
1532495803,1570,1108
1532581981,1499,1526
1532668359,1409,1460
1532754632,1239,1409
1532841167,976,1263
1532927565,1004,1052
1533014012,1103,1018
1533100369,1528,1073
1533187085,1467,1424
1533273159,1226,1469
1533359631,1409,1278
1533446226,1270,1398
1533532352,2872,1331
1533618783,1126,2887
1533792286,1062,1179
1533877986,1046,1067
1533964381,1173,1033
1534051043,1175,1158
1534137204,922,1193
1534151390,0,0
1534223554,946,946
1534309975,979,931
1534396393,957,971
1534482798,906,966
1534569393,876,890
1534917111,1039,927
1535001189,1025,1002
1535087593,1025,1044
