DateTime,Entries,UniqueIPs
1502936658,50,50
1503021709,94,94
1503107071,91,93
1503195861,50,50
1503280901,96,97
1503369134,50,50
1503454095,95,97
1503542409,50,50
1503678012,45,50
1503762735,92,100
1503847927,95,98
1503933139,95,96
1504021929,50,50
1504107383,98,98
1504115055,86,86
1504195688,99,99
1504280416,97,97
1504365136,91,91
1504452488,50,50
1504541053,50,50
1504626009,99,99
1504715060,50,50
1504800039,98,98
1504884979,96,96
1504973769,50,50
1505058492,94,95
1505147053,50,50
1505232492,94,95
1505318463,89,93
1505403383,94,97
1505492416,50,50
1505577858,98,98
1505662570,97,99
1505751377,50,50
1505836570,95,97
1505925616,48,50
1506011528,94,97
1506096254,97,99
1506185290,48,50
1506270254,94,97
1506355212,95,99
1506444491,47,50
1506529212,95,98
1506614170,93,96
1506702983,48,50
1506790829,49,50
1506876006,92,97
1506961700,92,96
1507049533,50,50
1507134486,97,97
1507219702,97,97
1507306819,49,50
1507395627,49,50
1507480095,96,97
1507565300,95,96
1507654574,49,50
1507739535,95,97
1507825222,89,92
1507914501,50,50
1508000426,98,99
1508085613,95,98
1508174173,50,50
1508260335,99,99
1508345530,96,96
1508430007,93,96
1508519774,50,50
1508605460,99,99
1508690418,99,100
1508776813,92,96
1508866336,49,50
1508951775,95,96
1509036969,95,96
1509123373,50,50
1509208579,99,99
1509298094,50,50
1509383058,96,98
1509467777,97,97
1509554184,49,50
1509643214,50,50
1509728169,96,96
1509816727,50,50
1509901212,89,90
1509991461,50,50
1510076168,91,92
1510161134,83,88
1510247542,50,50
1510333934,99,99
1510422498,49,50
1510507455,92,93
1510592896,97,97
1510682180,50,50
1510767855,94,95
1510853299,93,94
1510938498,87,93
1511026095,50,50
1511111057,95,95
1511200091,50,50
1511285535,96,96
1511370499,94,95
1511456669,92,93
1511545697,49,50
1511630171,94,95
1511718729,50,50
1511803936,98,98
1511889612,90,93
1511975055,91,97
1512064818,50,50
1512150262,97,97
1512235692,91,95
1512324493,49,50
1512409462,95,97
1512494895,96,98
1512585384,50,50
1512669142,89,93
1512755773,49,50
1512841455,93,95
1512926410,89,94
1513017621,48,50
1513102576,89,92
1513187777,90,93
1513273218,91,93
1513359863,49,50
1513446253,90,95
1513535780,49,50
1513620489,95,96
1513705940,95,95
1513792331,95,96
1513879225,50,50
1513964896,95,96
1514053457,48,50
1514138894,91,93
1514223850,90,91
1514312889,50,50
1514395941,96,97
1514482336,93,94
1514571610,49,50
1514657839,92,95
1514743219,91,95
1514794088,48,50
1514829375,82,89
1514914570,80,87
1515000981,49,50
1515088821,46,50
1515174734,91,96
1515260410,87,94
1515349217,49,50
1515435377,90,93
1515522017,50,50
1515608655,49,50
1515695297,50,50
1515780495,91,92
1515866423,89,90
1515954982,49,50
1516040653,92,93
1516125611,93,94
1516211778,99,99
1516301301,49,50
1516384825,89,93
1516470507,92,97
1516558814,50,50
1516643528,89,91
1516732334,49,50
1516817778,90,93
1516906338,43,50
1516991789,86,95
1517079375,49,50
1517164574,90,91
1517250013,96,96
1517336175,95,96
1517424745,49,50
1517510661,96,97
1517595614,91,95
1517682013,86,95
1517767935,87,94
1517856975,48,50
1517941942,89,93
1518026652,94,97
1518115699,49,50
1518202824,47,50
1518289698,49,50
1518372494,91,93
1518459378,49,50
1518546015,49,50
1518632900,47,50
1518721231,48,50
1518804734,91,95
1518891130,90,95
1518979212,49,50
1519064170,90,94
1519150820,49,50
1519237217,89,96
1519325057,48,50
1519411208,87,91
1519497133,89,93
1519583525,91,96
1519673055,47,50
1519755851,92,96
1519846097,47,50
1519932017,91,95
1520017453,91,94
1520102657,93,95
1520187853,92,95
1520277848,47,50
1520363050,90,93
1520448732,94,94
1520533931,95,96
1520622495,49,50
1520707941,96,98
1520793856,92,92
1520879774,92,93
1520966021,95,95
1521055938,49,50
1521141377,97,98
1521226090,92,94
1521315382,49,50
1521400091,94,96
1521485051,95,97
1521574330,46,50
1521659294,81,90
1521744253,82,90
1521830409,84,90
1521919459,48,50
1522004887,84,92
1522090333,84,92
1522179368,50,50
1522262898,87,90
1522352413,45,50
1522439058,47,50
1522525210,70,80
1522610410,80,90
1522696087,85,90
1522785385,49,50
1522869132,83,90
1522956768,44,50
