DateTime,Entries,UniqueIPs
1503013952,1106,1131
1503099387,1113,1138
1503187946,1122,1147
1503272910,1155,1181
1503361453,1154,1183
1503446426,1180,1219
1503534726,1167,1206
1503678010,1169,1211
1503697214,1207,1249
1503782170,1211,1254
1503871268,1214,1255
1503956657,1217,1258
1504041615,1224,1260
1504107383,1216,1252
1504130420,1254,1290
1504214900,1257,1293
1504299853,1255,1288
1504388170,1257,1290
1504475533,1263,1293
1504560256,1263,1294
1504649056,1263,1294
1504734497,1261,1292
1504819455,1257,1283
1504908260,1269,1290
1504992967,1272,1293
1505077696,1275,1294
1505166734,1277,1294
1505252654,1269,1286
1505338096,1265,1282
1505426657,1266,1280
1505511852,1276,1286
1505597291,1272,1282
1505685631,1269,1280
1505771053,1266,1277
1505856017,1262,1274
1505941936,1261,1273
1506030970,1259,1269
1506115453,1247,1260
1506200898,1238,1252
1506289935,1196,1208
1506374655,1184,1196
1506459855,1213,1225
1506548656,1216,1228
1506633379,1205,1219
1506722173,1171,1187
1506806653,1164,1181
1506895462,1120,1136
1506980001,1151,1168
1507065133,1145,1162
1507153930,1104,1122
1507239613,1131,1150
1507326255,1132,1151
1507410978,1138,1158
1507499533,1134,1157
1507585211,1081,1105
1507670172,1072,1095
1507759223,1071,1096
1507844657,1074,1099
1507930098,1077,1102
1508016014,1115,1140
1508104825,1070,1095
1508189778,1076,1101
1508275692,1114,1140
1508360920,1117,1143
1508450440,1094,1120
1508535371,1087,1112
1508620812,1119,1146
1508709853,1088,1109
1508796025,1090,1109
1508882178,1093,1112
1508967140,1092,1111
1509052336,1094,1112
1509138730,1129,1147
1509228420,1100,1115
1509313695,1126,1142
1509398426,1131,1149
1509487464,1104,1122
1509573369,1101,1118
1509658819,1104,1119
1509743770,1138,1154
1509832087,1109,1125
1509917051,1140,1158
1510002969,1151,1171
1510091539,1128,1147
1510176492,1159,1178
1510263139,1143,1161
1510349295,1179,1200
1510437853,1144,1166
1510523289,1147,1171
1510608498,1144,1171
1510694177,1182,1212
1510783464,1141,1174
1510868655,1133,1169
1510954338,1131,1169
1511040969,1151,1193
1511126894,1129,1177
1511215451,1084,1137
1511301136,1105,1161
1511385849,1090,1155
1511472254,1081,1153
1511561063,1052,1122
1511645531,1048,1121
1511734086,1032,1114
1511819527,1063,1146
1511904978,1059,1144
1511994255,1021,1106
1512080415,1022,1111
1512165857,1012,1099
1512251054,989,1081
1512339854,982,1077
1512425293,978,1072
1512510495,958,1057
1512602455,956,1058
1512684502,947,1050
1512771375,938,1045
1512856809,932,1048
1512942257,927,1043
1513029372,964,1083
1513117938,953,1065
1513203372,955,1069
1513289539,965,1073
1513375706,968,1072
1513461608,986,1089
1513547286,998,1101
1513636342,1016,1114
1513721773,1027,1122
1513808414,1027,1120
1513895300,1035,1125
1513980255,1035,1123
1514065452,1030,1112
1514154493,1018,1098
1514239448,1011,1090
1514324907,1038,1119
1514411533,1004,1081
1514497697,1003,1080
1514587211,990,1072
1514673857,981,1062
1514758817,978,1059
1514844966,975,1056
1514930422,1004,1088
1515016573,1009,1093
1515105139,989,1069
1515190099,1014,1098
1515275768,1009,1093
1515365306,989,1069
1515450984,1000,1078
1515538345,999,1077
1515624500,997,1071
1515710896,1003,1074
1515795916,1005,1067
1515881776,994,1054
1515970583,988,1047
1516056009,987,1042
1516141213,992,1047
1516227133,1027,1082
1516313300,1025,1083
1516400416,992,1043
1516485860,1021,1076
1516574184,1000,1054
1516658892,1006,1066
1516747693,1012,1071
1516833136,1017,1077
1516917856,1018,1086
1517007380,1016,1088
1517090895,1019,1089
1517179935,1029,1097
1517265611,1068,1139
1517351530,1085,1150
1517436262,1104,1173
1517526029,1079,1149
1517610976,1077,1149
1517697611,1075,1159
1517783534,1087,1172
1517868731,1092,1178
1517957301,1133,1221
1518042251,1133,1223
1518127697,1139,1228
1518214816,1140,1228
1518301217,1147,1231
1518388334,1114,1198
1518474728,1133,1215
1518561857,1172,1256
1518649462,1129,1212
1518732978,1164,1254
1518820580,1134,1224
1518906740,1133,1220
1518994578,1131,1217
1519080018,1141,1225
1519166414,1144,1228
1519253299,1145,1228
1519340424,1149,1230
1519426583,1143,1225
1519513710,1145,1221
1519598886,1161,1246
1519684574,1132,1211
1519771452,1169,1248
1519858579,1132,1207
1519943538,1134,1210
1520029216,1136,1214
1520118019,1172,1254
1520203449,1127,1206
1520289614,1135,1215
1520374568,1169,1252
1520460252,1168,1252
1520549299,1163,1248
1520634016,1163,1248
1520719696,1169,1252
1520809455,1112,1193
1520892495,1152,1235
1520981532,1106,1185
1521067462,1091,1172
1521152899,1128,1210
1521242179,1095,1175
