DateTime,Entries,UniqueIPs
1531356037,5217,5280
1531368635,5268,5332
1531381236,5418,5485
1531392036,5594,5662
1531403437,5497,5561
1531413636,5366,5430
1531424437,5172,5233
1531434036,5121,5175
1531443036,4963,5015
1531454435,4998,5050
1531464636,4709,4760
1531475435,4831,4882
1531486235,4845,4896
1531496436,4875,4926
1531506036,5049,5100
1531515637,5262,5315
1531524635,5378,5437
1531534235,5316,5374
1531546835,5161,5215
1531557635,4883,4928
1531567836,4827,4872
1531577436,4693,4738
1531585852,4590,4634
1531594911,4437,4479
1531604436,4617,4663
1531612836,4782,4830
1531623635,4780,4828
1531633835,4881,4930
1531642835,4889,4940
1531651836,5067,5121
1531661436,5158,5212
1531670435,5132,5186
1531679436,5075,5127
1531689035,4874,4921
1531698035,4797,4844
1531707635,4745,4791
1531717835,4608,4654
1531728035,4511,4553
1531738236,4551,4597
1531747234,4622,4667
1531756835,4652,4698
1531765836,4720,4766
1531774836,4800,4851
1531783835,4975,5031
1531794034,5040,5096
1531804835,4995,5049
1531815034,4681,4732
1531825240,4583,4634
1531835435,4525,4579
1531845634,4483,4535
1531855835,4366,4418
1531865435,4250,4302
1531873835,4442,4499
1531884635,4474,4531
1531893035,4519,4575
1531903237,4551,4607
1531914034,4638,4694
1531926034,4680,4737
1531933235,4618,4672
1531941035,4538,4590
1531951235,4597,4650
1531960234,4433,4485
1531969233,4247,4297
1531977633,4275,4325
1531986034,4210,4257
1531993235,4015,4063
1532002833,4054,4103
1532011233,4188,4239
1532020234,4223,4274
1532031634,4235,4288
1532041833,4328,4382
1532051433,4454,4508
1532061633,4506,4560
1532070632,4492,4546
1532078433,4232,4283
1532087434,4261,4313
1532096433,4147,4198
1532106047,4066,4116
1532115034,4023,4074
1532123434,3900,3950
1532132433,3839,3888
1532142033,3915,3966
1532149833,3950,4002
1532159433,3960,4012
1532167843,4005,4059
1532176833,4086,4141
1532185833,4194,4249
1532194833,4298,4350
1532204434,4298,4350
1532212834,4159,4210
1532219434,4187,4238
1532226633,4000,4046
1532234434,3946,3991
1532243433,4060,4106
1532252434,4032,4078
1532261434,3946,3992
1532269234,4028,4074
1532278234,4114,4161
1532287836,4142,4189
1532295634,4156,4204
1532304634,4224,4273
1532313635,4302,4354
1532320834,4389,4441
1532329234,4400,4452
1532336433,4333,4384
1532343634,4265,4316
1532351434,4091,4139
1532360433,4050,4097
1532369451,4019,4065
1532376046,3977,4023
1532383233,4012,4058
1532391033,3928,3974
1532397033,3860,3906
1532404833,3885,3932
1532412034,3960,4007
1532419833,3939,3985
1532429436,4008,4055
1532437833,4062,4109
1532446834,4099,4145
1532452847,4213,4259
1532461235,4154,4200
1532467234,4194,4241
1532474433,4135,4180
1532481633,4068,4109
1532489433,4016,4058
1532496033,3975,4017
1532504433,3946,3987
