DateTime,AddedIPs,RemovedIPs
1531356037,542,441
1531368635,457,745
1531381236,683,901
1531392036,633,673
1531403437,727,625
1531413636,545,524
1531424437,601,520
1531434036,551,433
1531443036,428,441
1531454435,404,698
1531464636,514,619
1531475435,696,794
1531486235,602,578
1531496436,564,597
1531506036,683,508
1531515637,662,571
1531524635,521,453
1531534235,451,483
1531546835,490,755
1531557635,613,607
1531567836,558,516
1531577436,485,474
1531585852,494,469
1531594911,479,465
1531604436,682,617
1531612836,567,443
1531623635,477,590
1531633835,495,698
1531642835,581,472
1531651836,614,540
1531661436,572,551
1531670435,411,482
1531679436,511,407
1531689035,415,518
1531698035,489,423
1531707635,510,451
1531717835,466,592
1531728035,498,488
1531738236,605,676
1531747234,556,563
1531756835,468,525
1531765836,585,399
1531774836,501,559
1531783835,527,555
1531794034,451,579
1531804835,474,630
1531815034,532,544
1531825240,589,539
1531835435,471,546
1531845634,516,518
1531855835,585,540
1531865435,512,502
1531873835,663,476
1531884635,460,628
1531893035,491,476
1531903237,552,541
1531914034,553,705
1531926034,546,770
1531933235,517,344
1531941035,502,387
1531951235,472,468
1531960234,362,487
1531969233,407,482
1531977633,466,409
1531986034,500,375
1531993235,382,346
1532002833,548,581
1532011233,472,509
1532020234,495,485
1532031634,426,705
1532041833,573,572
1532051433,559,545
1532061633,486,545
1532070632,536,434
1532078433,430,405
1532087434,441,477
1532096433,451,485
1532106047,428,499
1532115034,493,462
1532123434,442,427
1532132433,508,548
1532142033,479,560
1532149833,398,403
1532159433,386,397
1532167843,452,420
1532176833,486,513
1532185833,482,464
1532194833,533,361
1532204434,473,465
1532212834,411,362
1532219434,303,320
1532226633,365,331
1532234434,304,359
1532243433,563,390
1532252434,439,482
1532261434,416,400
1532269234,485,467
1532278234,419,432
1532287836,444,448
1532295634,417,439
1532304634,469,460
1532313635,442,548
1532320834,366,419
1532329234,436,393
1532336433,342,324
1532343634,301,301
1532351434,304,343
1532360433,366,479
1532369451,441,403
1532376046,316,298
1532383233,340,304
1532391033,345,356
1532397033,382,330
1532404833,442,353
1532412034,323,362
1532419833,344,374
1532429436,381,546
1532437833,463,409
1532446834,519,441
1532452847,378,285
1532461235,345,351
1532467234,318,276
1532474433,302,252
1532481633,305,293
1532489433,278,363
1532496033,280,284
1532504433,366,395
1532512233,337,376
1532520034,377,342
1532527833,383,438
1532535646,407,407
1532542834,388,269
1532549448,328,200
1532554854,258,219
1532562633,325,345
1532570434,349,383
1532577633,344,306
1532587233,381,477
1532596233,406,468
1532605834,428,529
1532614833,423,434
1532623233,425,382
1532632244,481,413
1532638838,278,350
1532646034,384,319
1532653233,334,376
1532661633,437,491
1532670033,424,407
1532676033,360,300
1532683233,362,346
1532691034,335,327
1532698833,378,516
1532707233,412,399
1532715053,380,394
1532721683,354,294
1532728845,386,343
1532736033,324,324
1532743233,332,290
1532750434,295,320
1532757033,281,299
1532764233,337,293
1532772034,393,355
1532779233,260,274
1532787061,357,377
1532794233,475,409
1532802033,431,330
1532809835,270,314
1532816434,255,311
1532823633,333,349
1532831433,387,384
1532838633,365,372
1532845234,343,286
1532853633,279,387
1532859633,319,285
1532866833,356,277
1532875233,303,367
1532881833,274,301
1532888434,352,263
1532895634,313,298
1532902836,316,310
1532910033,287,314
1532917833,448,424
1532924453,344,318
1532932234,311,354
1532939454,314,340
1532946649,318,346
1532953838,352,324
1532961061,378,340
1532967633,317,378
1532976035,450,353
1532982634,310,317
1532989233,309,284
1532997034,307,329
1533004235,284,331
1533011433,302,310
1533018033,353,282
1533026434,300,366
1533034833,374,353
1533042034,325,324
1533049832,403,448
1533057633,317,299
1533065435,326,334
1533072037,304,313
1533079232,323,317
1533087033,344,400
1533094832,334,374
1533103234,416,404
