DateTime,Entries,UniqueIPs
1531356033,2320,2344
1531368631,2321,2345
1531381232,2325,2349
1531392032,2329,2353
1531403433,2331,2355
1531413632,2333,2357
1531424433,2339,2363
1531434032,2344,2368
1531443032,2344,2368
1531454432,2351,2375
1531464632,2350,2372
1531475432,2355,2377
1531486232,2357,2379
1531496433,2363,2385
1531506032,2366,2388
1531515633,2368,2390
1531524632,2372,2394
1531534231,2373,2395
1531546832,2383,2405
1531557632,2384,2406
1531567832,2390,2412
1531577432,2395,2416
1531585849,2399,2420
1531594907,2404,2425
1531604432,2414,2435
1531612832,2414,2435
1531623632,2410,2432
1531633831,2408,2430
1531642832,2406,2428
1531651832,2411,2433
1531661432,2414,2436
1531670432,2411,2433
1531679432,2417,2440
1531689032,2420,2443
1531698031,2422,2445
1531707632,2430,2453
1531717831,2439,2462
1531728032,2444,2467
1531738233,2441,2464
1531747231,2444,2467
1531756832,2443,2466
1531765832,2444,2467
1531774833,2443,2466
1531783832,2438,2461
1531794031,2437,2460
1531804831,2437,2460
1531815031,2439,2462
1531825237,2438,2461
1531835432,2443,2466
1531845631,2433,2456
1531855832,2433,2456
1531865431,2437,2460
1531873831,2440,2463
1531884632,2444,2467
1531893031,2442,2465
1531903233,2445,2468
1531914031,2443,2466
1531926031,2447,2470
1531933232,2450,2473
1531941031,2452,2475
1531951231,2445,2468
1531960231,2443,2466
1531969230,2441,2464
1531977630,2439,2462
1531986031,2443,2466
1531993231,2445,2468
1532002830,2445,2468
1532011230,2445,2468
1532020231,2447,2470
1532031631,2445,2468
1532041830,2443,2466
1532051430,2445,2468
1532061630,2439,2462
1532070629,2442,2465
1532078430,2443,2466
1532087431,2446,2469
1532096430,2440,2463
1532106044,2442,2465
1532115031,2439,2462
1532123431,2444,2468
1532132430,2448,2470
1532142030,2450,2472
1532149830,2451,2473
1532159430,2450,2472
1532167840,2447,2469
1532176830,2444,2466
1532185830,2444,2466
1532194830,2446,2468
1532204430,2443,2465
1532212831,2447,2469
1532219431,2443,2465
1532226630,2443,2465
1532234431,2443,2465
1532243430,2440,2462
1532252431,2445,2467
1532261430,2449,2471
1532269231,2450,2472
1532278231,2451,2473
1532287832,2448,2470
1532295631,2449,2471
1532304630,2451,2472
1532313631,2445,2466
1532320830,2449,2470
1532329231,2441,2462
1532336430,2447,2468
1532343630,2446,2467
1532351431,2444,2465
1532360430,2444,2465
1532369448,2446,2467
1532376043,2446,2467
1532383230,2447,2468
1532391030,2451,2471
1532397029,2453,2473
1532404830,2454,2474
1532412031,2461,2481
1532419829,2460,2480
1532429431,2462,2482
1532437830,2460,2480
1532446831,2459,2479
1532452843,2460,2480
1532461231,2459,2479
1532467231,2461,2481
1532474430,2462,2482
1532481630,2466,2486
1532489430,2457,2477
1532496030,2459,2479
1532504430,2454,2474
1532512230,2458,2478
1532520031,2462,2483
1532527830,2459,2480
1532535643,2460,2481
1532542830,2461,2482
1532549445,2457,2478
1532554850,2458,2479
1532562630,2459,2480
1532570431,2457,2478
1532577630,2460,2481
1532587230,2458,2479
1532596230,2452,2471
1532605830,2451,2470
1532614830,2451,2470
1532623230,2453,2472
1532632241,2448,2467
1532638835,2450,2469
1532646031,2450,2469
1532653230,2451,2470
1532661630,2446,2464
1532670030,2443,2461
1532676030,2445,2463
1532683230,2442,2460
1532691030,2440,2458
1532698830,2439,2457
1532707230,2437,2455
1532715050,2435,2453
1532721680,2432,2450
1532728841,2433,2451
1532736030,2428,2446
1532743229,2432,2450
1532750431,2435,2453
1532757030,2436,2454
1532764230,2437,2455
1532772031,2430,2448
1532779230,2434,2452
1532787058,2429,2447
1532794230,2432,2449
1532802030,2436,2453
1532809831,2436,2453
1532816430,2438,2455
1532823629,2438,2455
1532831430,2435,2452
1532838630,2436,2453
1532845231,2439,2456
1532853630,2437,2454
1532859630,2436,2453
1532866830,2439,2456
1532875230,2441,2458
1532881830,2438,2455
1532888431,2434,2451
1532895630,2436,2453
1532902832,2436,2453
1532910030,2438,2455
1532917830,2438,2454
1532924450,2444,2460
1532932230,2442,2458
1532939450,2446,2462
1532946646,2443,2459
1532953835,2440,2456
