DateTime,AddedIPs,RemovedIPs
1524525601,1,0
1524526502,1,0
1524526801,6,0
1524527402,3,0
1524552602,0,1
1524553202,0,1
1524553502,0,1
1524553802,0,8
1525065901,9,0
1525068002,1,0
1525069202,1,0
1525071602,0,1
1525072202,0,1
1525072802,0,9
1525137601,1,0
1525137901,1,0
1525138502,9,0
1525158301,0,1
1525158602,0,1
1525159202,0,9
1525216501,1,0
1525217402,1,0
1525218001,9,0
1525244402,0,1
1525245301,0,1
1525245602,0,9
1525252502,3,0
1525256101,0,3
1525293602,1,0
1525293901,4,0
1525294502,5,0
1525296301,1,0
1525330201,0,1
1525331101,0,1
1525331402,0,9
1525374902,1,0
1525376102,10,0
1525416002,0,1
1525416302,0,1
1525416602,0,8
1525418702,0,1
1525454102,9,0
1525456502,1,0
1525457102,1,0
1525503902,0,1
1525504502,0,1
1525504801,0,1
1525505102,0,8
1525515302,6,0
1525518602,0,2
1525518901,0,4
1525535702,1,0
1525536302,9,0
1525538402,1,0
1525589402,0,1
1525590302,0,1
1525590602,0,9
1526309402,0,0
1527289502,0,0
1527291602,0,0
1527294022,0,43
1527298202,0,0
1527299702,0,0
1527301202,0,0
1527302402,0,0
1527303602,0,0
1527304802,0,0
1527306002,0,0
1527307502,0,0
1527308701,0,0
1527309902,0,0
1527311402,0,0
1527313202,0,0
1527314402,0,0
1527315602,0,0
1527316802,0,0
1527318022,0,43
1527318601,43,0
1527321302,0,0
1527322201,0,0
1527323402,0,0
1527324601,0,0
1527325802,0,0
1527326701,0,0
1527327602,0,0
1527331201,0,0
1527332402,0,0
1527333602,0,0
1527334801,0,0
1527335701,0,0
1527337201,0,0
1527338102,0,0
1527339602,0,0
1527340802,0,0
1527342602,0,0
1527343802,0,0
1527345616,0,43
1527346802,43,0
1527348602,0,0
1527351001,0,0
1527352802,0,0
1527354602,0,0
1527355502,0,0
1527357002,0,0
1527358202,0,0
1527360302,0,0
1527362101,0,0
1527363002,0,0
1527365402,0,0
1527368402,0,0
1527369902,0,0
1527371402,0,0
1527373227,0,43
