DateTime,AddedIPs,RemovedIPs
1504680302,0,1
1504681802,1,0
1504682101,0,1
1504682702,1,0
1504683902,0,1
1504686001,1,0
1504686602,0,1
1504687502,1,0
1504688101,0,1
1504689302,1,0
1504690201,0,1
1504690802,1,0
1504692302,0,1
1504692601,1,0
1504692902,0,1
1504693202,1,0
1504693802,0,1
1504694102,1,0
1504694402,0,1
1504695002,1,0
1504695902,0,1
1504697102,1,0
1504697402,0,1
1504698901,1,0
1504699502,0,1
1504701301,1,0
1504701602,0,1
1504702201,1,0
1504702502,0,1
1504702802,1,0
1504703101,0,1
1504706101,1,0
1504707302,0,1
1504707902,1,0
1504708201,0,1
1504709401,1,0
1504710601,0,1
1504711502,1,0
1504711801,0,1
1504712701,1,0
1504713301,0,1
1504713601,1,0
1504715702,0,1
1504716002,1,0
1504716602,0,1
1504717802,1,0
1504718402,0,1
1504718702,1,0
1504719602,0,1
1504720201,1,0
1504720501,0,1
1504720802,1,0
1504721702,0,1
1504723502,1,0
1504724101,0,1
1504724702,1,0
1504725002,0,1
1504726502,1,0
1504727101,0,1
1504728601,1,0
1504728901,0,1
1504730101,1,0
1504730402,0,1
1504731302,1,0
1504732802,0,1
1504733402,1,0
1504734002,0,1
1504734602,1,0
1504736402,0,1
1504738502,1,0
1504739401,0,1
1504740002,1,0
1504740302,0,1
1504740601,1,0
1504740902,0,1
1504741502,1,0
1504741802,0,1
1504742402,0,1
1504743602,1,0
1504743902,0,1
1504744802,1,0
1504746002,0,1
1504746602,1,0
1504747202,0,1
1504748101,1,0
1504748401,0,1
1504749002,1,0
1504749602,0,1
1504750802,1,0
1504751401,0,1
1504751702,1,0
1504752602,0,1
1504753201,1,0
1504753502,0,1
1504753801,1,0
1504754702,0,1
1504755002,1,0
1504755302,0,1
1504755902,1,0
1504756501,0,1
1504757401,1,0
1504757702,0,1
1504758302,1,0
1504758602,0,1
1504759202,1,0
1504759502,0,1
1504760402,1,0
1504761001,0,1
1504762501,1,0
1504763102,0,1
1504763702,1,0
1504764902,0,1
1504766402,1,0
1504767002,0,1
1504767302,1,0
1504767602,0,1
1504768202,1,0
1504770601,0,1
1504771201,1,0
1504771802,0,1
1504772102,1,0
1504772702,0,1
1504773302,1,0
1504774502,0,1
1504776602,1,0
1504777202,0,1
1504779001,1,0
1504779602,0,1
1504779901,1,0
1504780202,0,1
1504780802,1,0
1504781102,0,1
1504782902,1,0
1504783501,0,1
1504784101,1,0
1504784702,0,1
1504785301,1,0
1504785601,0,1
1504786202,1,0
1504786502,0,1
1504788902,1,0
1504789801,0,1
1504790101,1,0
1504790701,0,1
1504791002,1,0
1504791301,0,1
1504792502,1,0
1504793401,0,1
1504794301,1,0
1504794602,0,1
1504795201,1,0
1504795802,0,1
1504796402,1,0
1504796702,0,1
1504797002,1,0
1504798201,0,1
1504799102,1,0
1504870801,1,1
1504875002,1,0
1505088602,0,2
1505094302,1,1
1505098201,1,0
1505174402,0,1
1505260801,0,1
1505281502,1,1
1505285102,1,1
1505347201,0,1
1505385901,1,1
1505389801,1,0
1505393101,1,1
1505429101,0,0
1505430901,0,0
1505433602,0,1
1505526602,1,1
1505530202,1,0
1505620202,1,1
1505623801,1,0
1505706602,1,1
1505746502,1,1
1505749801,1,1
1505754001,1,0
1505757002,1,0
1505779501,0,1
1505919302,1,1
1505923502,1,1
1505926501,1,1
1506088502,1,1
1506092402,1,0
1506298201,0,1
1506702302,1,1
1506705602,1,0
1506895202,1,1
1506897002,1,0
1506902702,0,1
1506988802,0,2
1507066202,1,1
1507070102,1,1
1507073702,1,1
1507075201,0,1
1507077301,1,1
1507224902,1,1
1507228202,1,1
1507248001,0,1
1507507502,0,1
1507606801,1,1
1507610102,1,0
1507747502,1,1
1507750501,1,1
1507766402,0,1
1507955702,1,1
1507959302,1,0
1507963202,1,0
1508025902,0,1
1508161201,1,1
1508164502,1,0
1508198402,0,1
1508284802,0,1
1508371202,0,2
1508456702,1,1
1508460601,1,0
1508715601,1,1
1508716801,0,1
1508719202,1,0
1508820002,1,1
1508823902,1,0
1508827201,1,1
1508956801,1,1
1508960702,1,1
1509080402,0,1
1509081002,1,0
1509194702,1,1
1509198601,1,1
1509321602,0,1
1509342602,1,1
1509345602,1,1
1509385502,1,1
1509388802,1,1
1509494401,0,1
1509561301,0,1
1509561601,1,0
1509623702,0,1
1509627002,1,0
1509641402,1,1
1509645001,1,1
1509857702,1,1
1509861002,1,0
1510272002,0,1
1510547401,0,1
1510547701,1,0
1510617901,0,2
1510790402,0,1
1511049602,0,1
1511308802,0,1
1511481601,0,1
1512518701,0,1
1512535202,0,1
1512535502,1,0
1512708602,0,1
1512708901,1,0
1516295102,1,1
1516298401,1,0
1516528801,1,1
1516532402,1,1
1516586702,1,1
1516590002,1,1
1516622701,1,1
1516626001,1,0
1517298602,1,1
1517302201,1,0
1517309402,1,1
1517313002,1,0
1517352601,0,1
1517352901,1,0
1517707202,0,1
1517707501,1,0
1517830201,1,1
1517834102,1,1
1517949901,1,1
1517953202,1,1
1518032402,1,1
1518036002,1,0
1518054001,1,1
1518057602,1,0
1518410701,1,1
1518414301,1,0
1518439502,1,1
1518443101,1,0
1518473402,2,1
1518552002,0,1
1518552301,1,0
1518689102,0,1
1518689401,1,0
1518804902,0,1
1518808801,1,0
1518823202,1,1
1518827102,1,1
1518912001,0,1
1518943502,1,1
1518946502,1,0
1519257602,0,1
1519307701,1,1
1519311302,1,0
1519358102,0,1
1519359001,1,0
1519434302,0,1
1519434601,1,0
1519561201,0,1
1519561801,1,0
1519745402,1,1
1519749002,1,1
1519839602,1,1
1519843202,1,0
1519846802,1,0
1519948802,0,2
1520640302,0,1
1520714701,1,1
1520718302,1,0
1520726701,0,1
1521072301,0,2
1521590401,0,1
1521936002,0,1
1522454702,0,2
1523318702,0,1
1524093602,0,0
1524097202,0,0
1524123902,0,0
1524129302,1,1
1524932702,1,0
1524936302,1,0
1526309101,0,0
1526775002,0,1
1527277202,1,2
1527277502,2,0
1527289202,0,0
1527291602,0,0
1527298202,0,0
1527300002,0,0
1527301202,0,0
1527302402,0,0
1527303602,0,0
1527304801,0,0
1527305701,0,0
1527307201,0,0
1527308401,0,0
1527310202,0,0
1527311702,0,0
1527313202,0,0
1527314702,0,0
1527315901,0,0
1527316802,0,0
1527318601,0,0
1527321002,0,0
1527321902,0,0
1527323101,0,0
1527324302,0,0
1527325502,0,0
1527326401,0,0
1527327302,0,0
1527331201,0,0
1527332402,0,0
1527333602,0,0
1527334801,0,0
1527336002,0,0
1527337201,0,0
1527338402,0,0
1527339602,0,0
1527340802,0,0
1527342602,0,0
1527343802,0,0
1527346502,0,0
1527348602,0,0
1527351301,0,0
1527353101,0,0
1527354602,0,0
1527355802,0,0
1527357002,0,0
1527358202,0,0
1527360002,0,0
1527361802,0,0
1527362702,0,0
1527365402,0,0
1527368102,0,2
1527369902,0,0
1527371702,0,0
1527375902,0,0
1527377401,0,0
1527378902,0,0
1527381602,0,0
1527382802,0,0
1527384002,0,0
1527385801,0,0
1527387001,0,0
1527388201,0,0
1527390002,0,0
1527391202,0,0
1527393001,0,0
1527394202,0,0
1527396302,0,0
1527397202,0,0
1527399302,0,0
1527552001,0,1
1527575401,1,1
1527579001,1,0
1527912602,0,0
1527914702,0,0
1527916801,0,0
1527918902,0,0
1527923402,0,0
1527925202,0,0
1527926102,0,0
1527927602,0,0
1527928801,0,0
1527929701,0,0
1527931201,0,0
1527933602,0,0
1527934501,0,0
1527935701,0,0
1527936901,0,0
1527939301,0,0
1527940501,0,0
1527941701,0,0
1527943802,0,0
1527945002,0,0
1527946202,0,0
1527947102,0,0
1527948302,0,0
1527949201,0,0
1527950401,0,0
1527951601,0,0
1527952802,0,0
1527953701,0,0
1527955202,0,0
1527956701,0,0
1527957902,0,0
1527958802,0,0
1527960302,0,0
1527961502,0,0
1527962701,0,0
1527963902,0,0
1527965101,0,0
1527966302,0,0
1527967502,0,0
1527968702,0,0
1527969902,0,0
1527970802,0,0
1527972002,0,0
1527972902,0,0
1527973802,0,0
1527975001,0,0
1527976202,0,0
1527977402,0,0
1527978902,0,0
1527980102,0,0
1527981301,0,0
1527982201,1,1
1527983401,0,0
1527984601,0,0
1527987002,1,0
1527988202,0,0
1527989402,0,0
1527990602,0,0
1527991502,0,0
1527993002,0,0
1527993902,0,0
1527995101,0,0
1527996302,0,0
1527997502,0,0
1527998701,0,0
1527999901,0,0
1528001402,0,0
1528002602,0,0
1528004102,0,0
1528307702,0,0
1528309502,0,0
1528313101,0,0
1528318502,0,0
1528322401,0,0
1528324802,0,0
1528329602,0,0
1528333202,0,0
1529461502,1,1
1529937902,1,1
1530230401,0,1
1530576002,0,1
1530690601,1,1
1530776101,0,1
1530932701,1,1
1531016102,1,1
1531020001,1,1
1531369202,1,1
1531372802,1,1
1531513501,1,1
1531517102,1,1
1533673502,0,1
1533673802,1,0
1534151102,0,0
1534445102,1,1
1534446002,1,1
1535084702,0,1
1535085901,1,0
