DateTime,AddedIPs,RemovedIPs
1466861404,1,1
1466875804,73,73
1466890204,1,1
1466904603,1,1
1466962204,84,84
1467034204,2,2
1467048604,88,88
1467120604,1,1
1467135001,115,115
1467149401,2,2
1467174610,1,1
1467217804,87,87
1467275402,1,1
1467376202,100,100
1467390603,0,0
1506799764,500,500
1506872891,321,321
1506960976,289,289
1507049072,260,260
1507137875,365,365
1507211059,341,341
1507299384,371,371
1507387235,367,367
1507475544,415,415
1507563858,387,387
1507651943,425,425
1507740026,481,481
1507828332,470,470
1507916899,499,499
1507990347,487,487
1508049372,1,1
1508078657,310,310
1508166510,308,308
1508181138,1,1
1508195793,1,1
1508254334,260,260
1508350118,242,242
1508423545,258,258
1508512110,301,301
1508592983,499,499
1508688253,499,499
1508776350,232,232
1508858904,271,271
1508947962,265,265
1509036255,289,289
1509124349,264,264
1509197544,275,275
1509286108,288,288
1509374427,224,224
1509462252,318,318
1509550572,434,434
1509594750,1,1
1509631705,311,311
1509720263,336,336
1509816026,298,298
1509903850,302,302
1509992190,283,283
1510050743,1,1
1510065372,263,263
1510109292,1,1
1510153464,315,315
1510241791,256,256
1510256423,1,1
1510271069,1,1
1510285690,1,1
1510330115,261,261
1510359630,1,1
1510418666,71,71
1510506983,56,56
1510521627,1,1
1510596018,68,68
1510684117,171,171
1510758054,202,202
1510845851,107,107
1510934187,120,120
1511022760,129,129
1511111065,104,104
1511199384,88,88
1511287237,63,63
1511316763,1,1
1511377010,71,71
1511435776,1,1
1511450434,82,82
1511539460,90,90
1511554346,1,1
1511583612,1,1
1511628007,113,113
1511717090,67,67
1511731955,1,1
1511805631,69,69
1511849531,1,1
1511864428,1,1
1511893954,93,93
1511967375,100,100
1511996657,1,1
1512040584,1,1
1512055212,122,122
1512143306,176,176
1512187464,1,1
1512231394,96,96
1512319943,67,67
1512334575,2,2
1512408029,90,90
1512422899,1,1
1512467054,1,1
1512497326,77,77
1512585413,97,97
1512631948,2,2
1512661472,84,84
1512749786,99,99
1512838340,72,72
1512867636,1,1
1512926414,54,54
1512970834,1,1
1513000093,1,1
1513015246,86,86
1513103560,84,84
1513118428,1,1
1513133056,1,1
1513177000,100,100
1513206265,1,1
1513220897,1,1
1513265319,61,61
1513367819,89,89
1513441233,70,70
1513529053,80,80
1513543945,1,1
1513617399,81,81
1513705959,158,158
1513780596,77,77
1513825019,1,1
1513839621,1,1
1513854512,1,1
1513869392,82,82
1513899160,1,1
1513957715,82,82
1514046284,62,62
1514060904,1,1
1514075553,1,1
1514105315,1,1
1514135068,80,80
1514208994,1,1
