DateTime,Entries,UniqueIPs
1534708923,8243,8269
1534709524,8244,8269
1534710123,8324,8349
1534711323,8325,8349
1534712523,8265,8289
1534713724,8265,8290
1534714324,8344,8370
1534714924,8311,8336
1534716123,8311,8336
1534717324,8312,8336
1534717923,8308,8331
1534718524,8317,8340
1534719723,8281,8304
1534720324,8361,8384
1534720923,8284,8308
1534723323,8094,8116
1534723923,8096,8116
1534724523,8097,8116
1534725123,8177,8196
1534725723,8257,8276
1534726324,8336,8356
1534726924,8373,8392
1534727523,8373,8392
1534728123,8453,8472
1534729323,8374,8392
1534729924,8452,8471
1534730523,8452,8471
1534731124,8532,8551
1534731724,8535,8551
1534732923,8535,8551
1534733524,8536,8552
1534734124,8534,8551
1534734723,8612,8629
1534735323,8611,8629
1534736523,8691,8709
1534737723,8693,8710
1534738923,8612,8630
1534740123,8612,8630
1534741323,8453,8470
1534741923,8400,8416
1534742524,8467,8484
1534743124,8424,8441
1534743723,8394,8409
1534744324,8432,8447
1534744923,8351,8365
1534746123,8431,8445
1534747323,8346,8360
1534748524,8187,8201
1534749123,8266,8281
1534749723,8346,8361
1534750923,8267,8281
1534752123,8266,8281
1534753323,8185,8200
1534753923,8264,8279
1534754523,8159,8174
1534755124,8233,8249
1534755723,8298,8314
1534756323,8218,8234
1534756924,8298,8314
1534758123,8218,8234
1534759323,8218,8234
1534759923,8216,8232
1534760523,8216,8232
1534761723,8296,8312
1534762323,8296,8312
1534762924,8296,8312
1534764124,8295,8312
1534765324,8135,8152
1534766523,8135,8152
1534767723,7975,7992
1534768323,8055,8072
1534768923,8134,8152
1534770124,8048,8066
1534771324,7996,8014
1534773724,7757,7774
1534774323,7756,7773
1534774923,7835,7853
1534776123,7755,7773
1534777324,7676,7693
1534778524,7755,7773
1534779124,7755,7773
1534779723,7749,7766
1534780925,7749,7766
1534781523,7749,7766
1534782123,7749,7766
1534783323,7749,7766
1534783924,7828,7846
1534784524,7828,7846
1534785124,7828,7846
1534785724,7827,7846
1534786923,7826,7846
1534788123,7726,7747
1534788724,7806,7827
1534789324,7884,7906
1534789923,7891,7913
1534790523,7892,7913
1534791723,7732,7753
1534792323,7732,7753
1534792925,7812,7833
1534793524,7813,7833
1534794123,7892,7913
1534795324,7814,7833
1534796523,7734,7753
1534797723,7813,7832
1534798924,7733,7752
1534799523,7813,7832
1534800123,7892,7912
1534801324,7733,7752
1534802523,7813,7832
1534803723,7750,7769
1534804324,7754,7775
1534804923,7782,7803
1534806124,7862,7883
1534807323,7785,7803
1534808523,7785,7803
1534809724,7864,7883
1534810323,7788,7807
1534810924,7788,7807
1534812124,7782,7801
1534812723,7862,7881
1534813323,7836,7855
1534814524,7808,7826
1534815724,7886,7906
1534816323,7805,7824
1534816923,7884,7904
1534817523,7884,7904
1534818123,7884,7904
