DateTime,AddedIPs,RemovedIPs
1534707723,54,0
1534708923,20,7
1534709524,13,0
1534710123,14,2
1534711323,15,19
1534712523,35,32
1534713724,25,2
1534714324,18,1
1534714924,23,2
1534716123,22,4
1534717324,14,0
1534717923,18,2
1534718524,33,0
1534719723,17,1
1534720324,35,0
1534720923,38,13
1534723323,24,4
1534723923,47,2
1534724523,67,0
1534725123,33,2
1534725723,36,0
1534726324,36,9
1534726924,8,0
1534727523,21,0
1534728123,51,0
1534729323,49,2
1534729924,31,0
1534730523,23,14
1534731124,14,0
1534731724,23,0
1534732923,33,6
1534733524,24,0
1534734124,47,2
1534734723,29,3
1534735323,35,2
1534736523,17,1
1534737723,37,0
1534738923,62,2
1534740123,35,1
1534741323,19,1
1534741923,13,0
1534742524,25,2
1534743124,21,6
1534743723,6,0
1534744324,10,3
1534744923,51,1
1534746123,41,0
1534747323,32,0
1534748524,48,0
1534749123,52,1
1534749723,41,0
1534750923,38,1
1534752123,1,6
1534753323,31,17
1534753923,53,0
1534754523,14,2
1534755124,25,0
1534755723,19,0
1534756323,21,1
1534756924,8,0
1534758123,31,4
1534759323,1,3
1534759923,18,0
1534760523,17,0
1534761723,30,8
1534762323,10,3
1534762924,19,1
1534764124,17,0
1534765324,27,3
1534766523,21,4
1534767723,15,0
1534768323,23,17
1534768923,12,0
1534770124,20,3
1534771324,16,17
1534773724,9,6
1534774323,15,0
1534774923,2,0
1534776123,22,0
1534777324,29,3
1534778524,25,0
1534779124,15,1
1534779723,16,2
1534780925,14,5
1534781523,16,18
1534782123,17,6
1534783323,24,1
1534783924,18,21
1534784524,18,0
1534785124,21,1
1534785724,15,0
1534786923,15,4
1534788123,21,3
1534788724,26,0
1534789324,49,0
1534789923,38,9
1534790523,66,13
1534791723,20,8
1534792323,4,0
1534792925,55,2
1534793524,28,0
1534794123,30,0
1534795324,75,2
1534796523,28,5
1534797723,26,0
1534798924,18,6
1534799523,37,1
1534800123,45,0
1534801324,19,3
1534802523,25,3
1534803723,49,0
1534804324,16,0
1534804923,26,0
1534806124,9,3
1534807323,17,3
1534808523,59,4
1534809724,22,1
1534810323,11,2
1534810924,24,4
1534812124,36,0
1534812723,11,0
1534813323,23,0
1534814524,28,3
1534815724,26,2
1534816323,35,2
1534816923,5,1
1534817523,31,0
1534818123,41,1
1534819324,34,1
1534820523,43,6
1534821723,14,0
1534822924,18,1
1534823523,48,19
1534824123,11,0
1534824725,65,3
1534825324,32,2
1534826523,57,1
1534827123,31,8
1534827724,27,1
1534828324,36,0
1534828923,35,2
1534829523,22,0
1534830123,38,1
1534830724,44,0
1534831323,29,0
1534832523,42,25
1534833123,36,0
1534833723,12,0
1534834923,28,0
1534835523,5,2
1534836124,18,2
1534836723,27,1
1534837324,32,0
1534838523,52,8
1534839723,31,2
1534840323,40,0
1534840923,20,0
1534841523,18,2
1534842123,15,0
1534843323,16,13
1534843923,67,0
1534844523,72,1
1534845124,34,0
1534845723,26,0
1534846323,10,3
1534846923,16,0
1534848124,30,3
1534849323,53,10
1534850523,23,0
1534851723,38,2
1534852323,32,23
1534852923,12,0
1534854123,20,2
1534855324,34,6
1534856523,39,5
1534857125,16,5
1534857724,9,0
1534858324,26,3
1534858924,6,0
1534859524,40,1
1534860125,15,2
1534860724,65,0
1534861324,37,0
1534862523,21,0
1534863124,37,0
1534863723,6,0
1534864923,27,3
1534866123,29,1
1534866723,22,2
1534867323,51,0
1534867923,55,13
1534868523,15,3
1534869124,36,0
1534869724,47,0
1534870323,30,0
1534870924,11,4
1534871524,15,0
1534872123,26,1
1534872723,10,0
1534873324,5,0
1534873923,26,0
1534874523,29,1
1534875723,17,0
1534876923,40,1
1534877523,15,3
1534878124,4,6
1534878723,4,3
1534879323,13,10
1534880523,51,1
1534881124,45,1
1534881725,72,0
1534882924,38,2
1534884124,3,1
1534885323,10,0
1534885924,22,13
1534886524,18,7
1534887723,8,0
1534888923,25,0
1534889524,25,1
1534890123,23,1
1534890723,43,0
1534891323,28,0
1534892523,25,7
1534893125,41,0
1534893724,23,0
1534894323,40,1
1534894923,5,4
1534895523,5,0
1534896123,9,0
1534896724,20,0
1534897324,2,0
1534897924,10,3
1534898523,46,0
1534899723,4,3
1534900323,19,0
1534900924,7,0
1534902124,13,0
1534902724,36,0
1534903323,43,2
1534904523,31,0
1534905724,14,1
1534906923,24,3
1534907525,12,0
1534908123,22,0
1534908723,23,2
1534909323,14,5
1534910524,45,0
1534911724,9,5
1534912323,3,12
1534912923,27,11
1534913523,30,0
1534914124,10,4
1534914724,23,0
1534915324,34,3
1534916523,52,0
1534917123,15,6
1534917724,26,0
1534918924,36,4
1534919523,42,21
1534920123,0,25
1534921324,30,0
1534921924,25,39
1534922523,29,2
1534923724,26,7
1534924323,37,0
1534924923,33,0
1534926124,36,10
1534926723,15,1
1534927324,34,0
1534928524,60,5
1534929124,37,0
1534929723,33,4
1534930323,36,0
1534930923,54,0
1534931524,78,1
1534932123,31,0
1534933324,24,0
1534934524,9,3
1534935723,19,5
1534936323,24,3
1534936923,31,1
1534938123,17,0
1534938723,15,4
1534939323,9,0
1534940523,3,0
1534941724,20,3
1534942923,18,6
1534944123,19,14
1534944723,15,0
1534945324,33,0
1534945924,18,16
1534946523,13,1
1534947724,38,6
1534948323,7,0
1534948923,12,0
1534950124,11,4
1534950724,15,0
1534951323,26,4
1534951924,16,0
1534952523,8,0
1534953124,38,16
1534953724,19,13
1534954324,67,0
1534954924,11,9
1534955524,40,0
1534956123,16,30
1534956723,13,7
1534957323,27,0
1534957924,17,0
1534958523,5,22
1534959123,29,0
1534959723,44,0
1534960324,41,0
1534960923,37,14
1534962124,34,3
1534962725,40,0
1534963324,32,2
1534963924,28,5
1534964524,20,27
1534965723,32,7
1534967523,34,0
1534968124,11,0
1534969325,9,9
1534970523,9,6
1534971724,17,0
1534972323,12,1
1534972924,21,8
1534973523,18,0
1534974123,26,0
1534974723,19,0
1534975324,39,1
1534976523,28,2
1534977123,36,0
1534977723,28,0
1534978924,25,5
1534979525,13,6
1534980124,21,0
1534981324,41,5
1534982524,33,4
1534983123,36,0
1534983724,25,0
1534984323,16,2
1534984923,9,0
1534985523,38,1
1534986123,30,0
1534986726,32,6
1534987324,27,4
1534987923,29,0
1534988524,41,0
1534989123,6,3
1534989724,20,0
1534990924,10,2
1534991523,26,4
1534992123,17,2
1534992723,17,0
1534993323,33,13
1534993924,16,4
1534994523,19,32
1534995724,11,11
1534996924,18,0
1534997524,32,0
1534998123,17,7
1534998725,21,0
1534999323,50,7
1535000523,24,4
1535001723,47,4
1535002924,33,0
1535003523,44,2
1535004123,22,2
1535005323,23,0
1535006523,4,10
1535007724,23,12
1535008923,28,15
1535009524,16,0
1535010123,24,1
1535011323,28,4
1535012524,39,9
1535013123,20,4
1535013723,26,0
1535014324,48,0
1535014923,55,0
1535016123,15,13
1535017324,20,9
1535017924,29,9
1535018524,16,24
1535019723,21,5
1535020923,44,12
1535021524,21,7
1535022124,18,26
1535023323,64,9
1535023924,32,5
1535024524,5,0
1535025124,45,0
1535025724,49,7
1535026923,49,20
1535028124,34,28
1535029324,5,9
1535030523,20,14
1535031123,22,19
1535031723,7,0
1535032323,20,5
1535032923,26,9
