DateTime,Entries,UniqueIPs
1505692284,63487,63487
1505778684,63470,63470
1505865085,64798,64798
1505951485,65026,65026
1506037886,65841,65841
1506124285,64600,64600
1506210686,65113,65113
1506297086,64934,64934
1506383487,65272,65272
1506469887,65720,65720
1506556287,66739,66739
1506642688,67197,67197
1506729088,67318,67318
1506815488,68216,68216
1506901888,66948,66948
1506988289,66948,66948
1507074689,67189,67189
1507161090,67414,67414
1507247490,68025,68025
1507333891,68219,68219
1507420291,67961,67961
1507506690,67646,67646
1507593091,68472,68472
1507679492,69029,69029
1507765892,69306,69306
1507852292,68971,68971
1507938693,68866,68866
1508025093,69573,69573
1508111493,68315,68315
1508197893,67714,67714
1508284294,67547,67547
1508370694,67593,67593
1508457094,67190,67190
1508543495,66070,66070
1508629895,65706,65706
1508716295,64494,64494
1508802695,65286,65286
1508889096,65913,65913
1508975496,66179,66179
1509061897,66582,66582
1509148297,66256,66256
1509234697,65371,65371
1509321097,64255,64255
1509407497,64277,64277
1509493898,63366,63366
1509580298,63865,63865
1509666698,64696,64696
1509753099,65101,65101
1509839499,65097,65097
1509925900,64196,64196
1510012300,63984,63984
1510098699,64039,64039
1510185100,64196,64196
1510271501,62858,62858
1510357901,62289,62289
1510444301,61874,61874
1510530702,61718,61718
1510617102,62375,62375
1510703501,62260,62260
1510789903,62525,62525
1510876303,63433,63433
1510962703,62709,62709
1511049103,61855,61855
1511135503,61668,61668
1511221904,62915,62915
1511308304,63253,63253
1511394704,63765,63765
1511481104,62871,62871
1511567505,62226,62226
1511653905,62620,62620
1511740305,61506,61506
1511826705,62016,62016
1511913106,62136,62136
1511999506,62837,62837
1512085906,63402,63402
1512172307,63651,63651
1512258708,63519,63519
1512345108,62319,62319
1512431508,62180,62180
1512517909,62305,62305
1512604308,62410,62410
1512690709,62102,62102
1512777109,63149,63149
1512863510,63443,63443
1512949910,63108,63108
1513036310,63210,63210
1513122711,63387,63387
1513209111,63872,63872
1513295511,63295,63295
1513381912,62760,62760
