DateTime,Entries,UniqueIPs
1505314121,10408,10408
1505401243,10404,10404
1505488359,10484,10484
1505575461,10481,10481
1505662597,10418,10418
1505749710,10385,10385
1505836842,10315,10315
1505923957,10410,10410
1506011062,10496,10496
1506098196,10464,10464
1506185304,10477,10477
1506272463,10445,10445
1506359558,10449,10449
1506446665,10376,10376
1506533797,10436,10436
1506620905,10524,10524
1506708025,10624,10624
1506795154,10714,10714
1506882274,10763,10763
1506969640,10646,10646
1507057002,10663,10663
1507144097,10660,10660
1507231234,10667,10667
1507318363,10575,10575
1507405468,10599,10599
1507492845,10418,10418
1507580685,10337,10337
1507667781,10279,10279
1507755159,10286,10286
1507842265,10530,10530
1507929634,10660,10660
1508016739,10609,10609
1508103865,10493,10493
1508190989,10522,10522
1508278121,10633,10633
1508365338,10694,10694
1508452443,10674,10674
1508539472,10664,10664
1508626930,10547,10547
1508713967,10503,10503
1508801066,10568,10568
1508888436,10644,10644
1508975568,10622,10622
1509062931,10636,10636
1509150281,10556,10556
1509237633,10529,10529
1509324995,10418,10418
1509412099,10358,10358
1509499477,10308,10308
1509586835,10308,10308
1509674199,10297,10297
1509761296,10345,10345
1509848435,10309,10309
1509935557,10298,10298
1510022668,10296,10296
1510110041,10401,10401
1510197148,10506,10506
1510284507,10584,10584
1510371867,10677,10677
1510458976,10539,10539
1510546350,10374,10374
1510633474,10398,10398
1510720596,10456,10456
1510807710,10396,10396
1510894834,10399,10399
1510981953,10356,10356
1511069062,10271,10271
1511156192,10270,10270
1511243328,10367,10367
1511330433,10329,10329
1511417550,10282,10282
1511504931,10170,10170
1511592017,10140,10140
1511679155,10035,10035
1511766262,9953,9953
1511853405,10042,10042
1511940528,10031,10031
1512027866,9994,9994
1512115292,10041,10041
1512202359,9957,9957
1512289730,9928,9928
1512377077,9946,9946
1512464480,9967,9967
1512551543,9962,9962
1512638681,10007,10007
1512725854,9976,9976
1512812974,10024,10024
1512900096,9971,9971
1512987216,9896,9896
1513074573,9984,9984
1513161698,10104,10104
1513249545,10192,10192
1513336654,10166,10166
1513423766,10212,10212
1513511132,10196,10196
1513598230,10261,10261
1513685381,10334,10334
1513772509,10310,10310
1513859617,10395,10395
1513946736,10429,10429
1514033856,10541,10541
1514121225,10646,10646
1514208581,10669,10669
1514295703,10869,10869
1514382816,11017,11017
1514513616,11154,11154
1514600973,11377,11377
