DateTime,AddedIPs,RemovedIPs
1454289012,3589,3267
1455497791,4798,4460
1456102775,3077,4064
1456710969,3728,3017
1457314892,2751,3928
1458525460,9663,3883
1459125531,7476,5957
1459729907,4099,6783
1460336662,4338,5980
1461543947,7472,6277
1462152372,7042,4669
1462755332,7351,6283
1463359417,6830,6814
1464563211,6088,9481
1465171233,4149,5640
1465775083,2860,5423
1466379191,5135,2568
1466983499,4372,4426
1467588061,4201,4175
1468192772,3986,4186
1468797343,4363,4084
1469400953,14250,4059
1470610757,32291,14121
1471214712,5399,30234
1471819243,5125,6898
1472423944,4475,5261
1473029333,4120,4845
1473634024,4570,4085
1474238551,3916,4509
1475448310,7517,5666
1476052840,5083,5550
1476658073,6387,4680
1477263290,9678,5885
1477872080,15093,8832
1478476598,23642,13452
1480290864,14950,26864
1480895835,7395,10501
1481502719,6659,7165
1482112409,10041,7615
1484527066,23027,13307
1485131129,12759,15432
1486338866,18018,18216
1486947321,11677,14262
1487557829,10273,12969
1488763412,19244,13935
1489364809,13890,14440
1489967804,9729,17254
1490569495,10774,9814
1491778056,17798,13880
1492382754,15073,11720
1492987524,40457,13746
1493592194,29796,32677
1494197425,14946,30505
1494802176,15518,17911
1495407520,23146,16659
1496011848,25115,18418
1497221521,19977,33485
1497826265,12057,15261
1498431153,14317,12881
1499036435,12572,12545
1500247296,16646,18651
1500854002,12099,11006
1501459341,9326,12184
1502072210,9100,11332
1503274710,8446,16364
1503884446,9317,343
1504487310,9665,14743
1505082813,7511,12594
1505687763,5869,8370
1506292434,6150,6406
1506897276,7706,6076
1507502053,4928,7813
1508107018,8194,5148
1508711683,9932,7341
1509320196,8926,9613
1509924787,10283,9297
1510529461,8012,10171
1511134089,8437,8332
1512344444,13513,9256
1512949058,8433,12215
1513553633,7668,8866
1516577464,8570,10405
1517183282,6714,7073
1517787319,6862,6683
1518392602,6962,6447
1519602034,6986,7358
1520812609,7573,7313
1521417278,5609,6414
1522020685,6276,5899
1522624857,6211,5887
1523229000,6158,6354
1523833066,6928,6029
1525043350,7242,8320
1525647950,6290,6263
1526252157,6781,6197
1526859493,6599,6629
1527462081,6630,6356
1528066920,7303,6424
1528671925,8640,7044
1529277173,19993,7939
1529881689,20863,18009
1530485846,11206,21174
1531090176,9714,13388
1531695553,6987,10292
1532300692,7876,7293
1532904663,8524,7636
1534114572,9026,9604
1534719158,10643,7745
