DateTime,AddedIPs,RemovedIPs
1528669981,1,0
1528684381,0,1
1528695181,1,0
1528702381,0,1
1528713181,2,0
1528720381,0,1
1528727581,1,0
1528767181,2,1
1528770781,1,0
1528774381,1,1
1528781581,3,0
1528792382,1,0
1528795982,0,1
1528803181,0,1
1528806781,1,0
1528831981,2,1
1528835581,0,1
1528857181,1,0
1528860781,0,1
1528867981,1,0
1528871581,1,1
1528875181,0,1
1528878781,0,1
1528885981,0,2
1528889582,1,0
1528893181,0,1
1528921981,1,0
1528929181,0,1
1528932781,1,0
1528936381,1,0
1528961581,0,1
1528965181,1,0
1528990381,1,1
1529011981,0,1
1529026381,1,0
1529029981,0,1
1529033581,1,0
1529040781,1,0
1529044381,0,3
1529058781,0,1
1529065981,0,1
1529076781,0,3
1529080381,0,1
1529083981,1,1
1529094781,0,1
1529098381,0,1
1529105581,0,1
1529127181,1,0
1529141582,0,1
1529145181,1,1
1529152381,0,1
1529155981,1,0
1529163181,0,1
1529166781,0,1
1529170381,2,0
1529173981,2,1
1529177581,1,0
1529195581,1,0
1529206381,3,0
1529220782,0,1
1529224381,1,1
1529227981,3,0
1529231581,0,2
1529235181,1,0
1529238781,2,0
1529253181,3,0
1529256781,1,0
1529271182,1,0
1529274781,0,1
1529299981,0,1
1529303581,1,0
1529310781,1,3
1529314382,1,0
1529317981,1,0
1529321581,0,1
1529328782,0,3
1529335981,1,0
1529346781,2,0
1529361182,0,1
1529364781,1,0
1529368381,2,0
1529371982,0,1
1529379182,1,0
1529382781,0,2
1529389981,1,0
1529393581,1,0
1529404381,0,2
1529425981,2,0
1529443981,2,0
1529447581,1,0
1529458382,2,0
1529461981,1,1
1529472781,4,0
1529476382,2,0
1529479981,1,0
1529483581,0,1
1529487181,1,1
1529490781,1,1
1529501581,1,1
1529505182,2,0
1529512381,1,0
1529515981,0,1
1529519582,1,0
1529523181,0,1
1529530381,0,1
1529544781,1,0
1529555581,1,0
1529559181,1,1
1529573581,0,1
1529580781,1,0
1529584381,0,1
1529591581,1,0
1529602381,0,1
1529631181,0,2
1529638381,0,1
1529656381,0,1
1529659981,0,1
1529667181,1,2
1529677981,0,1
1529681581,1,0
1529688781,1,0
1529699581,0,1
1529706781,0,1
1529710381,1,1
1529728381,0,1
1529731981,2,0
1529742782,1,0
1529746381,1,0
1529749981,0,2
1529753581,2,0
1529757181,2,0
1529767981,1,0
1529775181,1,2
1529778781,1,1
1529782381,1,0
1529785981,1,0
1529789581,1,0
1529803981,0,1
1529807581,1,2
1529811181,2,0
1529814781,0,2
1529818381,0,2
1529832782,0,2
1529847181,0,1
1529854381,1,1
1529857981,0,2
1529872381,2,0
1529875982,0,1
1529893981,1,0
1529908381,1,0
1529915581,3,0
1529919181,0,5
1529922782,2,0
1529933581,1,0
1529944381,0,2
1529947981,1,1
1529951581,0,1
1529955181,1,0
1529958781,1,1
1529969581,1,0
1529983981,2,1
1529987581,3,0
1529991181,0,2
1530009181,2,0
1530012781,0,1
1530030782,1,1
1530034381,1,1
1530037981,0,1
1530041581,1,0
1530045181,1,0
1530052381,0,3
1530055981,0,1
1530066781,0,1
1530070381,1,0
1530073981,1,0
1530077581,0,2
1530081181,0,2
1530095581,1,1
1530099181,1,1
1530102781,0,1
1530106382,1,0
1530120781,0,2
1530127981,1,0
1530135182,1,0
1530142381,0,1
1530149581,1,0
1530153181,1,0
1530156781,2,0
1530163981,1,3
1530171181,0,1
1530174781,0,1
1530178381,0,1
1530181981,0,1
1530189181,0,1
1530196381,0,1
1530203582,1,0
1530207181,0,2
1530214381,1,0
1530228782,0,1
1530232381,1,0
1530235981,0,2
1530246781,0,1
1530250381,1,0
1530253981,0,1
1530257581,1,1
1530261181,2,1
1530264782,1,0
1530268381,1,2
1530271981,1,0
1530279181,3,0
1530282781,1,1
1530289981,0,1
1530315182,1,0
1530329581,0,1
1530340381,0,1
1530343981,1,0
1530347581,0,1
1530351181,0,1
1530354781,0,1
1530365581,0,2
1530376381,0,1
1530379981,1,0
1530401581,1,0
1530415981,1,0
1530419581,0,1
1530426781,1,0
1530433981,0,1
1530441181,1,0
1530444781,1,1
1530448381,4,0
1530451981,4,0
1530455581,1,1
1530459181,1,1
1530462781,2,0
1530466381,1,1
1530480781,0,3
1530484381,0,1
1530487981,0,1
1530495181,1,0
1530498781,0,1
1530502381,2,0
1530505981,1,0
1530513182,1,2
1530523981,0,2
1530527582,0,2
1530545581,3,1
1530559981,0,1
1530563581,2,1
1530585181,2,1
1530592381,0,3
1530599581,1,1
1530613982,0,2
1530617581,1,0
1530621182,0,3
1530624781,0,3
1530628381,2,0
1530635581,0,1
1530660781,1,0
1530678781,0,1
1530685981,0,1
1530689581,0,1
1530815581,0,24
1530819182,1,0
1530822781,0,3
1530837181,0,2
1530847981,2,0
1530851581,1,1
1530855181,1,0
1530862381,0,2
1530873181,0,1
1530880382,2,4
1530883981,0,4
1530887582,2,0
1530891182,1,0
1530894781,2,1
1530930781,0,1
1530937981,0,1
1530952382,1,0
1530955982,0,1
1530966781,1,0
1530970381,1,1
1530977581,1,0
1530981181,1,1
1530991981,1,0
1531006381,1,1
1531009981,1,2
1531017181,0,2
1531020781,1,0
1531027981,0,2
1531038781,0,2
1531042382,0,1
1531045981,0,5
1531067581,0,2
1531071181,22,0
1531074781,0,1
1531078382,6,0
1531085581,2,0
1531092782,0,1
1531096382,1,0
1531107181,2,1
1531114381,17,1
1531125182,0,2
1531128781,2,0
1531146782,3,1
1531150382,0,1
1531157582,2,0
1531164781,0,3
1531171981,1,0
1531182781,2,0
1531197181,2,3
1531204381,0,1
1531211582,5,0
1531222381,4,0
1531233181,0,1
1531247581,8,0
1531254782,0,1
1531258382,1,0
1531261981,0,1
1531265581,0,1
1531269182,2,0
1531294381,1,0
1531297981,0,4
1531315982,1,0
1531326781,2,0
1531337581,1,0
1531348381,2,0
1531359181,1,0
1531369982,1,0
1531384381,1,0
1531395182,1,0
1531405982,1,0
1531416782,1,0
1531434781,2,0
1531452781,0,1
1531456382,2,2
1531463581,0,1
1531467181,1,0
1531470782,0,1
1531474382,0,1
1531477981,1,2
1531485181,0,5
1531488781,1,0
1531492381,0,3
1531495981,0,1
1531499581,1,0
1531503181,0,1
1531506781,2,0
1531517582,2,1
1531524781,1,0
1531539181,0,2
1531542781,0,2
1531564381,0,1
1531567981,0,1
1531571582,0,2
1531578782,1,0
1531582381,0,2
1531585982,0,2
1531611181,0,2
1531614781,1,1
1531625582,1,0
1531629181,0,1
1531639981,0,3
1531643581,1,0
1531647181,0,1
1531654382,1,0
1531661582,1,3
1531672381,0,10
1531679581,1,0
1531683182,0,4
1531690381,0,2
1531701181,0,2
1531708382,0,2
